"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CHINCHEROS (000)",47959,2638,13999,8501,6099,5615,3927,2958,4222
"Quechua (001)",38563,1605,9994,6622,4959,4944,3577,2798,4064
"Aymara (002)",67,7,11,7,15,8,8,1,10
"Ashaninca (003)",8,3,3,2,,,,,
"Otra lengua nativa (004)",6,,,1,2,1,,1,1
"Castellano (005)",9154,1012,3957,1850,1095,646,335,141,118
"Idioma extranjero (006)",1,1,,,,,,,
"Es sordomudo/a (007)",160,10,34,19,28,16,7,17,29
"Hombres (009)",23808,1328,7106,4318,2890,2772,1931,1452,2011
"Quechua (010)",19030,827,5122,3374,2311,2393,1728,1357,1918
"Aymara (011)",32,5,5,2,8,3,4,,5
"Ashaninca (012)",6,1,3,2,,,,,
"Otra lengua nativa (013)",4,,,,1,1,,1,1
"Castellano (014)",4646,486,1956,930,560,367,193,85,69
"Idioma extranjero (015)",1,1,,,,,,,
"Es sordomudo/a (016)",89,8,20,10,10,8,6,9,18
"Mujeres (018)",24151,1310,6893,4183,3209,2843,1996,1506,2211
"Quechua (019)",19533,778,4872,3248,2648,2551,1849,1441,2146
"Aymara (020)",35,2,6,5,7,5,4,1,5
"Ashaninca (021)",2,2,,,,,,,
"Otra lengua nativa (022)",2,,,1,1,,,,
"Castellano (023)",4508,526,2001,920,535,279,142,56,49
"Es sordomudo/a (025)",71,2,14,9,18,8,1,8,11
,,,,,,,,,
"URBANA (027)",15523,849,4427,2627,2289,2104,1332,820,1075
"Quechua (028)",10243,320,2241,1651,1557,1631,1104,737,1002
"Aymara (029)",31,1,,3,11,7,6,,3
"Ashaninca (030)",3,,1,2,,,,,
"Otra lengua nativa (031)",4,,,1,1,1,,,1
"Castellano (032)",5218,526,2179,968,715,462,220,80,68
"Idioma extranjero (033)",1,1,,,,,,,
"Es sordomudo/a (034)",23,1,6,2,5,3,2,3,1
"Hombres (036)",7656,423,2193,1306,1048,1081,677,421,507
"Quechua (037)",5019,158,1133,828,691,823,549,371,466
"Aymara (038)",14,1,,1,4,2,4,,2
"Ashaninca (039)",3,,1,2,,,,,
"Otra lengua nativa (040)",3,,,,1,1,,,1
"Castellano (041)",2598,262,1055,473,349,252,122,48,37
"Idioma extranjero (042)",1,1,,,,,,,
"Es sordomudo/a (043)",18,1,4,2,3,3,2,2,1
"Mujeres (045)",7867,426,2234,1321,1241,1023,655,399,568
"Quechua (046)",5224,162,1108,823,866,808,555,366,536
"Aymara (047)",17,,,2,7,5,2,,1
"Otra lengua nativa (049)",1,,,1,,,,,
"Castellano (050)",2620,264,1124,495,366,210,98,32,31
"Es sordomudo/a (052)",5,,2,,2,,,1,
,,,,,,,,,
"RURAL (054)",32436,1789,9572,5874,3810,3511,2595,2138,3147
"Quechua (055)",28320,1285,7753,4971,3402,3313,2473,2061,3062
"Aymara (056)",36,6,11,4,4,1,2,1,7
"Ashaninca (057)",5,3,2,,,,,,
"Otra lengua nativa (058)",2,,,,1,,,1,
"Castellano (059)",3936,486,1778,882,380,184,115,61,50
"Es sordomudo/a (061)",137,9,28,17,23,13,5,14,28
"Hombres (063)",16152,905,4913,3012,1842,1691,1254,1031,1504
"Quechua (064)",14011,669,3989,2546,1620,1570,1179,986,1452
"Aymara (065)",18,4,5,1,4,1,,,3
"Ashaninca (066)",3,1,2,,,,,,
"Otra lengua nativa (067)",1,,,,,,,1,
"Castellano (068)",2048,224,901,457,211,115,71,37,32
"Es sordomudo/a (070)",71,7,16,8,7,5,4,7,17
"Mujeres (072)",16284,884,4659,2862,1968,1820,1341,1107,1643
"Quechua (073)",14309,616,3764,2425,1782,1743,1294,1075,1610
"Aymara (074)",18,2,6,3,,,2,1,4
"Ashaninca (075)",2,2,,,,,,,
"Otra lengua nativa (076)",1,,,,1,,,,
"Castellano (077)",1888,262,877,425,169,69,44,24,18
"Es sordomudo/a (079)",66,2,12,9,16,8,1,7,11
