"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia OCROS (000)",8686,987,186,3782,2723,230,245,186,347
"Quechua (001)",734,148,1,379,152,15,11,6,22
"Aymara (002)",4,,,4,,,,,
"Ashaninca (003)",2,,,1,1,,,,
"Castellano (005)",7932,829,184,3395,2570,215,234,180,325
"Idioma extranjero (006)",2,1,1,,,,,,
"Es sordomudo/a (007)",12,9,,3,,,,,
"Hombres (009)",4512,356,82,1881,1608,137,126,107,215
"Quechua (010)",327,26,,171,93,12,4,6,15
"Aymara (011)",1,,,1,,,,,
"Ashaninca (012)",2,,,1,1,,,,
"Castellano (014)",4174,323,81,1708,1514,125,122,101,200
"Idioma extranjero (015)",1,,1,,,,,,
"Es sordomudo/a (016)",7,7,,,,,,,
"Mujeres (018)",4174,631,104,1901,1115,93,119,79,132
"Quechua (019)",407,122,1,208,59,3,7,,7
"Aymara (020)",3,,,3,,,,,
"Castellano (023)",3758,506,103,1687,1056,90,112,79,125
"Idioma extranjero (024)",1,1,,,,,,,
"Es sordomudo/a (025)",5,2,,3,,,,,
,,,,,,,,,
"URBANA (027)",5026,503,111,2121,1560,148,179,128,276
"Quechua (028)",479,88,1,252,96,10,10,4,18
"Aymara (029)",4,,,4,,,,,
"Ashaninca (030)",1,,,,1,,,,
"Castellano (032)",4533,410,109,1862,1463,138,169,124,258
"Idioma extranjero (033)",2,1,1,,,,,,
"Es sordomudo/a (034)",7,4,,3,,,,,
"Hombres (036)",2595,169,55,1013,934,92,90,76,166
"Quechua (037)",194,11,,96,58,9,4,4,12
"Aymara (038)",1,,,1,,,,,
"Ashaninca (039)",1,,,,1,,,,
"Castellano (041)",2394,154,54,916,875,83,86,72,154
"Idioma extranjero (042)",1,,1,,,,,,
"Es sordomudo/a (043)",4,4,,,,,,,
"Mujeres (045)",2431,334,56,1108,626,56,89,52,110
"Quechua (046)",285,77,1,156,38,1,6,,6
"Aymara (047)",3,,,3,,,,,
"Castellano (050)",2139,256,55,946,588,55,83,52,104
"Idioma extranjero (051)",1,1,,,,,,,
"Es sordomudo/a (052)",3,,,3,,,,,
,,,,,,,,,
"RURAL (054)",3660,484,75,1661,1163,82,66,58,71
"Quechua (055)",255,60,,127,56,5,1,2,4
"Ashaninca (057)",1,,,1,,,,,
"Castellano (059)",3399,419,75,1533,1107,77,65,56,67
"Es sordomudo/a (061)",5,5,,,,,,,
"Hombres (063)",1917,187,27,868,674,45,36,31,49
"Quechua (064)",133,15,,75,35,3,,2,3
"Ashaninca (066)",1,,,1,,,,,
"Castellano (068)",1780,169,27,792,639,42,36,29,46
"Es sordomudo/a (070)",3,3,,,,,,,
"Mujeres (072)",1743,297,48,793,489,37,30,27,22
"Quechua (073)",122,45,,52,21,2,1,,1
"Castellano (077)",1619,250,48,741,468,35,29,27,21
"Es sordomudo/a (079)",2,2,,,,,,,
