"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ICA (000)",96745,84814,161,21766,21459,15169,15350,6826,2940,1143,11931,258247
"De 12 a 14 años (001)",104,39,3,31,5,,,,,,65,41
"De 15 a 19 años (002)",2083,1629,5,1472,132,11,9,,,,454,1805
"De 20 a 24 años (003)",10639,6981,30,5170,1515,220,28,18,,,3658,9089
"De 25 a 29 años (004)",12584,9350,15,4709,3330,1015,258,22,1,,3234,15636
"De 30 a 34 años (005)",11965,10486,9,3376,4164,1997,843,82,10,5,1479,21901
"De 35 a 39 años (006)",11315,10419,16,2171,3714,2627,1629,232,22,8,896,26154
"De 40 a 44 años (007)",10048,9448,14,1369,2800,2545,2179,460,72,9,600,27676
"De 45 a 49 años (008)",8465,8015,8,1003,1974,2027,2138,680,157,28,450,26260
"De 50 y más años (009)",29542,28447,61,2465,3825,4727,8266,5332,2678,1093,1095,129685
"PEA (010)",43328,36551,75,10914,10473,6955,5634,1782,563,155,6777,94900
"De 12 a 14 años (011)",9,6,,6,,,,,,,3,6
"De 15 a 19 años (012)",503,405,1,368,29,4,3,,,,98,450
"De 20 a 24 años (013)",4710,2810,15,2149,550,70,14,12,,,1900,3589
"De 25 a 29 años (014)",6687,4481,8,2490,1429,430,116,8,,,2206,7169
"De 30 a 34 años (015)",6623,5589,4,2078,2115,959,391,37,4,1,1034,11108
"De 35 a 39 años (016)",6637,6031,12,1441,2154,1441,853,114,11,5,606,14569
"De 40 a 44 años (017)",5814,5448,9,887,1703,1425,1156,234,30,4,366,15351
"De 45 a 49 años (018)",4724,4460,6,654,1135,1133,1110,332,79,11,264,14014
"De 50 y más años (019)",7621,7321,20,841,1358,1493,1991,1045,439,134,300,28644
