"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia MOHO",,,,,,,
"Viviendas particulares (001)",9402,480,149,128,8469,54,122
"Ocupantes presentes (002)",27342,1530,462,408,24470,132,340
"Casa independiente",,,,,,,
"Viviendas particulares (004)",8342,449,60,113,7578,47,95
"Ocupantes presentes (005)",24317,1446,184,378,21957,112,240
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",1,,,,1,,
"Ocupantes presentes (008)",5,,,,5,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",6,5,,,1,,
"Ocupantes presentes (011)",13,12,,,1,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",24,8,,,12,2,2
"Ocupantes presentes (014)",76,22,,,46,5,3
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",1019,17,89,15,871,2,25
"Ocupantes presentes (017)",2908,48,278,30,2448,7,97
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",8,1,,,4,3,
"Ocupantes presentes (023)",17,2,,,7,8,
"Otro tipo",,,,,,,
"Viviendas particulares (025)",2,,,,2,,
"Ocupantes presentes (026)",6,,,,6,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",2322,382,33,47,1796,15,49
"Ocupantes presentes (029)",7478,1293,130,170,5689,36,160
"Casa independiente",,,,,,,
"Viviendas particulares (031)",2286,368,33,47,1779,12,47
"Ocupantes presentes (032)",7373,1257,130,170,5631,28,157
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",1,,,,1,,
"Ocupantes presentes (035)",5,,,,5,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",6,5,,,1,,
"Ocupantes presentes (038)",13,12,,,1,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",24,8,,,12,2,2
"Ocupantes presentes (041)",76,22,,,46,5,3
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",5,1,,,3,1,
"Ocupantes presentes (050)",11,2,,,6,3,
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",7080,98,116,81,6673,39,73
"Ocupantes presentes (056)",19864,237,332,238,18781,96,180
"Casa independiente",,,,,,,
"Viviendas particulares (058)",6056,81,27,66,5799,35,48
"Ocupantes presentes (059)",16944,189,54,208,16326,84,83
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",1019,17,89,15,871,2,25
"Ocupantes presentes (071)",2908,48,278,30,2448,7,97
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",3,,,,1,2,
"Ocupantes presentes (077)",6,,,,1,5,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",2,,,,2,,
"Ocupantes presentes (080)",6,,,,6,,
