"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUALGAYOC (000)",34642,33451,10882,5069,4007,2955,3960,2810,3768,1191
"Católica (001)",24911,24039,7961,3738,2950,2084,2778,1971,2557,872
"Cristiana/Evangélica (002)",7152,6919,2083,956,767,662,886,636,929,233
"Otra (003)",1085,1046,341,155,113,95,121,94,127,39
"Ninguna (004)",1494,1447,497,220,177,114,175,109,155,47
,,,,,,,,,,
"URBANA (006)",7707,7343,2360,1244,1087,760,837,471,584,364
"Católica (007)",5253,5013,1673,877,769,492,558,302,342,240
"Cristiana/Evangélica (008)",1711,1631,445,253,240,200,206,118,169,80
"Otra (009)",446,418,143,62,40,44,50,30,49,28
"Ninguna (010)",297,281,99,52,38,24,23,21,24,16
,,,,,,,,,,
"RURAL (012)",26935,26108,8522,3825,2920,2195,3123,2339,3184,827
"Católica (013)",19658,19026,6288,2861,2181,1592,2220,1669,2215,632
"Cristiana/Evangélica (014)",5441,5288,1638,703,527,462,680,518,760,153
"Otra (015)",639,628,198,93,73,51,71,64,78,11
"Ninguna (016)",1197,1166,398,168,139,90,152,88,131,31
