"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUALGAYOC (000)",42570,5351,12603,11017,13599
"Asiste actualmente (001)",25147,2094,12009,8361,2683
"No asiste (002)",17423,3257,594,2656,10916
"Hombres (004)",20945,2718,6337,5539,6351
"Asiste actualmente (005)",13276,1056,6059,4585,1576
"No asiste (006)",7669,1662,278,954,4775
"Mujeres (008)",21625,2633,6266,5478,7248
"Asiste actualmente (009)",11871,1038,5950,3776,1107
"No asiste (010)",9754,1595,316,1702,6141
,,,,,
"URBANA (012)",8856,1049,2419,2218,3170
"Asiste actualmente (013)",5893,565,2286,1871,1171
"No asiste (014)",2963,484,133,347,1999
"Hombres (016)",4440,515,1232,1134,1559
"Asiste actualmente (017)",3029,256,1166,976,631
"No asiste (018)",1411,259,66,158,928
"Mujeres (020)",4416,534,1187,1084,1611
"Asiste actualmente (021)",2864,309,1120,895,540
"No asiste (022)",1552,225,67,189,1071
,,,,,
"RURAL (024)",33714,4302,10184,8799,10429
"Asiste actualmente (025)",19254,1529,9723,6490,1512
"No asiste (026)",14460,2773,461,2309,8917
"Hombres (028)",16505,2203,5105,4405,4792
"Asiste actualmente (029)",10247,800,4893,3609,945
"No asiste (030)",6258,1403,212,796,3847
"Mujeres (032)",17209,2099,5079,4394,5637
"Asiste actualmente (033)",9007,729,4830,2881,567
"No asiste (034)",8202,1370,249,1513,5070
