"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia PADRE ABAD",,,,,,
"Viviendas particulares (001)",11998,11790,154,46,7,1
"Ocupantes presentes (002)",48740,46725,1320,551,117,27
"Casa independiente",,,,,,
"Viviendas particulares (004)",8851,8673,137,35,5,1
"Ocupantes presentes (005)",37535,35817,1190,417,84,27
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",79,73,5,,1,
"Ocupantes presentes (008)",275,224,36,,15,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",364,348,6,9,1,
"Ocupantes presentes (011)",1284,1118,46,102,18,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",94,92,1,1,,
"Ocupantes presentes (014)",370,344,8,18,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",2518,2512,5,1,,
"Ocupantes presentes (017)",8939,8885,40,14,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",57,57,,,,
"Ocupantes presentes (020)",223,223,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",28,28,,,,
"Ocupantes presentes (023)",88,88,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",7,7,,,,
"Ocupantes presentes (026)",26,26,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",5647,5450,144,45,7,1
"Ocupantes presentes (029)",24907,22992,1234,537,117,27
"Casa independiente",,,,,,
"Viviendas particulares (031)",5031,4858,132,35,5,1
"Ocupantes presentes (032)",22673,21001,1144,417,84,27
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",79,73,5,,1,
"Ocupantes presentes (035)",275,224,36,,15,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",364,348,6,9,1,
"Ocupantes presentes (038)",1284,1118,46,102,18,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",94,92,1,1,,
"Ocupantes presentes (041)",370,344,8,18,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",57,57,,,,
"Ocupantes presentes (047)",223,223,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",18,18,,,,
"Ocupantes presentes (050)",63,63,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",4,4,,,,
"Ocupantes presentes (053)",19,19,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",6351,6340,10,1,,
"Ocupantes presentes (056)",23833,23733,86,14,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",3820,3815,5,,,
"Ocupantes presentes (059)",14862,14816,46,,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",2518,2512,5,1,,
"Ocupantes presentes (071)",8939,8885,40,14,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",10,10,,,,
"Ocupantes presentes (077)",25,25,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",3,3,,,,
"Ocupantes presentes (080)",7,7,,,,
