"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CANDARAVE (000)",4063,3150,256,301,356
"Agric., ganadería, caza y silvicultura (001)",2675,2546,81,45,3
"Pesca (002)",10,5,3,2,
"Explotación de minas y canteras (003)",1,1,,,
"Industrias manufactureras (004)",111,99,3,6,3
"Suministro de electricidad, gas y agua (005)",19,,5,10,4
"Construcción (006)",351,53,93,137,68
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",173,162,10,1,
"Venta, mant.y rep. veh.autom y motoc. (008)",6,4,2,,
"Comercio al por mayor (009)",5,4,,1,
"Comercio al por menor (010)",162,154,8,,
"Hoteles y restaurantes (011)",55,52,,2,1
"Trans., almac. y comunicaciones (012)",58,44,2,8,4
"Intermediación financiera (013)",1,1,,,
"Activid.inmobil., empres. y alquileres (014)",37,20,5,10,2
"Admin.pub. y defensa; p. segur soc.afil (015)",248,,,,248
"Enseñanza (016)",172,60,39,64,9
"Servicios sociales y de salud (017)",30,15,1,1,13
"Otras activ. serv.comun.soc y personales (018)",6,4,2,,
"Hogares privados con servicio doméstico (019)",14,14,,,
"Actividad economica no especificada (021)",102,74,12,15,1
"Hombres (022)",2550,1812,205,230,303
"Agric., ganadería, caza y silvicultura (023)",1640,1553,62,23,2
"Pesca (024)",10,5,3,2,
"Industrias manufactureras (026)",45,33,3,6,3
"Suministro de electricidad, gas y agua (027)",19,,5,10,4
"Construcción (028)",329,53,90,128,58
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",74,64,9,1,
"Venta, mant.y rep. veh.autom y motoc. (030)",6,4,2,,
"Comercio al por mayor (031)",3,2,,1,
"Comercio al por menor (032)",65,58,7,,
"Hoteles y restaurantes (033)",11,10,,1,
"Trans., almac. y comunicaciones (034)",55,42,2,7,4
"Intermediación financiera (035)",1,1,,,
"Activid.inmobil., empres. y alquileres (036)",26,15,3,7,1
"Admin.pub. y defensa; p. segur soc.afil (037)",220,,,,220
"Enseñanza (038)",62,6,19,32,5
"Servicios sociales y de salud (039)",9,3,1,,5
"Otras activ. serv.comun.soc y personales (040)",2,2,,,
"Hogares privados con servicio doméstico (041)",3,3,,,
"Actividad economica no especificada (043)",44,22,8,13,1
"Mujeres (044)",1513,1338,51,71,53
"Agric., ganadería, caza y silvicultura (045)",1035,993,19,22,1
