"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia TAMBOPATA (000)",27095,58534,54733,,1658,93.5,2.8
"De 12 a 14 años (001)",2487,28,27,,10,96.4,35.7
"De 15 a 19 años (002)",4341,1008,978,254,97,25.2,
"De 20 a 24 años (003)",4168,3638,3532,438,97.1,12,
"De 25 a 29 años (004)",3641,5852,5733,384,98,6.6,
"De 30 a 34 años (005)",3013,7246,7011,319,96.8,4.4,
"De 35 a 39 años (006)",2670,8165,7898,179,96.7,2.2,
"De 40 a 44 años (007)",2124,8015,7624,64,95.1,0.8,
"De 45 a 49 años (008)",1560,6786,6327,9,93.2,0.1,
"De 50 y más años (009)",3091,17796,15603,1,87.7,,
"PEA (010)",11809,27467,25815,550,94,2,
"De 12 a 14 años (011)",147,3,3,,100,,
"De 15 a 19 años (012)",1165,315,302,48,95.9,15.2,
"De 20 a 24 años (013)",1921,1447,1408,133,97.3,9.2,
"De 25 a 29 años (014)",1899,2650,2592,142,97.8,5.4,
"De 30 a 34 años (015)",1644,3520,3410,122,96.9,3.5,
"De 35 a 39 años (016)",1595,4478,4341,72,96.9,1.6,
"De 40 a 44 años (017)",1279,4574,4356,26,95.2,0.6,
"De 45 a 49 años (018)",916,3744,3517,7,93.9,0.2,
"De 50 y más años (019)",1243,6736,5886,,87.4,,
"Ocupada (020)",11441,26798,25184,531,94,2,
"De 12 a 14 años (021)",139,3,3,,100,,
"De 15 a 19 años (022)",1098,290,279,43,96.2,14.8,
"De 20 a 24 años (023)",1825,1360,1321,126,97.1,9.3,
"De 25 a 29 años (024)",1835,2561,2504,141,97.8,5.5,
"De 30 a 34 años (025)",1599,3412,3308,119,97,3.5,
"De 35 a 39 años (026)",1571,4397,4265,69,97,1.6,
"De 40 a 44 años (027)",1254,4487,4271,26,95.2,0.6,
"De 45 a 49 años (028)",891,3637,3415,7,93.9,0.2,
"De 50 y más años (029)",1229,6651,5818,,87.5,,
"Desocupada (030)",368,669,631,19,94.3,2.8,
"De 12 a 14 años (031)",8,,,,,,
"De 15 a 19 años (032)",67,25,23,5,92,20,
"De 20 a 24 años (033)",96,87,87,7,100,8,
"De 25 a 29 años (034)",64,89,88,1,98.9,1.1,
"De 30 a 34 años (035)",45,108,102,3,94.4,2.8,
