"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ALTO AMAZONAS (000)",33372,1100,11545,11420,7855,1452
"Agric., ganadería, caza y silvicultura (001)",17281,682,5797,5479,4290,1033
"Pesca (002)",304,6,84,112,82,20
"Explotación de minas y canteras (003)",21,,5,9,6,1
"Industrias manufactureras (004)",1122,33,394,386,265,44
"Suministro de electricidad, gas y agua (005)",51,,14,21,16,
"Construcción (006)",1164,11,391,476,271,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3914,154,1273,1400,917,170
"Venta, mant.y rep. veh.autom.y motoc. (008)",383,21,163,107,82,10
"Comercio al por mayor (009)",192,6,69,73,35,9
"Comercio al por menor (010)",3339,127,1041,1220,800,151
"Hoteles y restaurantes (011)",1080,53,375,361,261,30
"Trans., almac. y comunicaciones (012)",1943,18,990,627,295,13
"Intermediación financiera (013)",44,,23,17,4,
"Activid.inmobil., empres. y alquileres (014)",683,2,282,233,152,14
"Admin.pub. y defensa; p. segur.soc.afil (015)",603,,168,255,173,7
"Enseñanza (016)",1928,1,308,1084,527,8
"Servicios sociales y de salud (017)",454,2,114,222,106,10
"Otras activ. serv.comun.soc y personales (018)",506,27,209,153,104,13
"Hogares privados con servicio doméstico (019)",1060,87,636,200,107,30
"Actividad economica no especificada (021)",1214,24,482,385,279,44
"Hombres (022)",23727,759,8258,8027,5600,1083
"Agric., ganadería, caza y silvicultura (023)",14030,512,4786,4474,3421,837
"Pesca (024)",290,6,78,106,81,19
"Explotación de minas y canteras (025)",19,,4,9,6,
"Industrias manufactureras (026)",857,31,332,279,180,35
"Suministro de electricidad, gas y agua (027)",44,,14,16,14,
"Construcción (028)",1134,11,378,462,268,15
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1973,106,676,639,455,97
"Venta, mant.y rep. veh.autom.y motoc. (030)",360,20,153,97,80,10
"Comercio al por mayor (031)",104,4,33,40,22,5
"Comercio al por menor (032)",1509,82,490,502,353,82
"Hoteles y restaurantes (033)",244,23,108,63,44,6
"Trans., almac. y comunicaciones (034)",1838,16,930,594,285,13
"Intermediación financiera (035)",28,,14,11,3,
"Activid.inmobil., empres. y alquileres (036)",493,2,188,171,120,12
"Admin.pub. y defensa; p. segur.soc.afil (037)",430,,111,186,127,6
"Enseñanza (038)",1087,1,172,605,303,6
"Servicios sociales y de salud (039)",219,1,55,94,60,9
