"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia OXAPAMPA (000)",19107,539,9117,5233,1563,518,249,67,10,,1811
"Sin Nivel (001)",2985,162,1506,671,207,82,51,26,4,,276
"Educación Inicial (002)",35,3,17,13,,,,,,,2
"Primaria (003)",8494,309,4756,1974,478,164,110,29,4,,670
"Secundaria (004)",4975,63,2380,1564,342,80,30,6,,,510
"Sup. no Univ. Incompleta (005)",571,,141,254,86,9,2,1,1,,77
"Sup. no Univ. Completa (006)",837,1,134,341,185,54,21,1,,,100
"Sup. Univ. Incompleta (007)",299,,67,122,59,16,4,,,,31
"Sup. Univ. Completa (008)",911,1,116,294,206,113,31,4,1,,145
,,,,,,,,,,,
"URBANA (010)",7710,137,3056,2384,844,310,146,35,4,,794
"Sin Nivel (011)",661,36,306,154,57,20,16,11,1,,60
"Educación Inicial (012)",10,,5,4,,,,,,,1
"Primaria (013)",2371,72,1209,585,171,76,62,14,1,,181
"Secundaria (014)",2648,28,1185,866,209,62,20,5,,,273
"Sup. no Univ. Incompleta (015)",412,,100,176,65,7,,1,1,,62
"Sup. no Univ. Completa (016)",641,,102,265,138,43,17,,,,76
"Sup. Univ. Incompleta (017)",241,,55,96,47,12,4,,,,27
"Sup. Univ. Completa (018)",726,1,94,238,157,90,27,4,1,,114
,,,,,,,,,,,
"RURAL (020)",11397,402,6061,2849,719,208,103,32,6,,1017
"Sin Nivel (021)",2324,126,1200,517,150,62,35,15,3,,216
"Educación Inicial (022)",25,3,12,9,,,,,,,1
"Primaria (023)",6123,237,3547,1389,307,88,48,15,3,,489
"Secundaria (024)",2327,35,1195,698,133,18,10,1,,,237
"Sup. no Univ. Incompleta (025)",159,,41,78,21,2,2,,,,15
"Sup. no Univ. Completa (026)",196,1,32,76,47,11,4,1,,,24
"Sup. Univ. Incompleta (027)",58,,12,26,12,4,,,,,4
"Sup. Univ. Completa (028)",185,,22,56,49,23,4,,,,31
