"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUANCA SANCOS (000)",3747,76,930,1325,1045,371
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",22,,1,15,5,1
"Profes., científicos e intelectuales (002)",340,,56,184,98,2
"Técnicos de nivel medio y trab.asimilados (003)",67,,15,30,16,6
"Jefes y empleados de oficina (004)",86,,26,41,19,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",233,3,56,94,61,19
"Agricult.trabaj. calif. agrop. y pesqueros (006)",1213,7,210,367,427,202
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",104,1,32,35,20,16
"Obreros construc., conf., papel, fab., instr. (008)",166,1,51,77,36,1
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",1256,57,404,381,301,113
"Otra (010)",5,,2,3,,
"Ocupación no especificada (011)",81,1,25,26,21,8
"Desocupado (012)",174,6,52,72,41,3
"Hombres (013)",2342,50,574,846,657,215
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",19,,1,14,3,1
"Profes., científicos e intelectuales (015)",202,,15,111,74,2
"Técnicos de nivel medio y trab.asimilados (016)",46,,10,19,13,4
"Jefes y empleados de oficina (017)",57,,9,32,16,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",64,2,18,22,14,8
"Agricult.trabaj. calif. agrop. y pesqueros (019)",805,3,139,254,280,129
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",87,1,29,28,18,11
"Obreros construc., conf., papel, fab., instr. (021)",158,1,48,73,35,1
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",711,37,251,214,155,54
"Otra (023)",5,,2,3,,
"Ocupación no especificada (024)",35,1,10,13,9,2
"Desocupado (025)",153,5,42,63,40,3
"Mujeres (026)",1405,26,356,479,388,156
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",3,,,1,2,
"Profes., científicos e intelectuales (028)",138,,41,73,24,
"Técnicos de nivel medio y trab.asimilados (029)",21,,5,11,3,2
"Jefes y empleados de oficina (030)",29,,17,9,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",169,1,38,72,47,11
"Agricult.trabaj. calif. agrop. y pesqueros (032)",408,4,71,113,147,73
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",17,,3,7,2,5
"Obreros construc., conf., papel, fab., instr. (034)",8,,3,4,1,
