"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SATIPO (000)",59524,57847,18165,8022,7842,6288,8753,5023,3754,1677
"Católica (001)",38398,37239,12119,5436,5214,4026,5407,2934,2103,1159
"Cristiana/Evangélica (002)",15979,15617,4457,1922,1965,1733,2539,1671,1330,362
"Otra (003)",1538,1498,527,179,187,128,244,119,114,40
"Ninguna (004)",3609,3493,1062,485,476,401,563,299,207,116
,,,,,,,,,,
"URBANA (006)",19075,18418,6268,2873,2749,1952,2446,1305,825,657
"Católica (007)",13339,12843,4420,2111,2002,1375,1596,842,497,496
"Cristiana/Evangélica (008)",4528,4406,1426,561,569,481,687,401,281,122
"Otra (009)",550,531,185,74,78,48,87,31,28,19
"Ninguna (010)",658,638,237,127,100,48,76,31,19,20
,,,,,,,,,,
"RURAL (012)",40449,39429,11897,5149,5093,4336,6307,3718,2929,1020
"Católica (013)",25059,24396,7699,3325,3212,2651,3811,2092,1606,663
"Cristiana/Evangélica (014)",11451,11211,3031,1361,1396,1252,1852,1270,1049,240
"Otra (015)",988,967,342,105,109,80,157,88,86,21
"Ninguna (016)",2951,2855,825,358,376,353,487,268,188,96
