"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia CONTUMAZA (000)",19756,18765,991
"Hombres (001)",10009,9680,329
"Mujeres (002)",9747,9085,662
"De 18 a 29 años (003)",5501,5236,265
"Hombres (004)",2817,2687,130
"Mujeres (005)",2684,2549,135
"De 30 a 44 años (006)",5983,5844,139
"Hombres (007)",2976,2934,42
"Mujeres (008)",3007,2910,97
"De 45 a 64 años (009)",5189,4994,195
"Hombres (010)",2635,2581,54
"Mujeres (011)",2554,2413,141
"De 65 y más años (012)",3083,2691,392
"Hombres (013)",1581,1478,103
"Mujeres (014)",1502,1213,289
,,,
"URBANA (015)",8797,8568,229
"Hombres (016)",4292,4204,88
"Mujeres (017)",4505,4364,141
"De 18 a 29 años (018)",2327,2249,78
"Hombres (019)",1173,1128,45
"Mujeres (020)",1154,1121,33
"De 30 a 44 años (021)",2737,2702,35
"Hombres (022)",1283,1270,13
"Mujeres (023)",1454,1432,22
"De 45 a 64 años (024)",2431,2391,40
"Hombres (025)",1184,1172,12
"Mujeres (026)",1247,1219,28
"De 65 y más años (027)",1302,1226,76
"Hombres (028)",652,634,18
"Mujeres (029)",650,592,58
,,,
"RURAL (030)",10959,10197,762
"Hombres (031)",5717,5476,241
"Mujeres (032)",5242,4721,521
"De 18 a 29 años (033)",3174,2987,187
"Hombres (034)",1644,1559,85
"Mujeres (035)",1530,1428,102
"De 30 a 44 años (036)",3246,3142,104
"Hombres (037)",1693,1664,29
"Mujeres (038)",1553,1478,75
"De 45 a 64 años (039)",2758,2603,155
"Hombres (040)",1451,1409,42
"Mujeres (041)",1307,1194,113
"De 65 y más años (042)",1781,1465,316
"Hombres (043)",929,844,85
"Mujeres (044)",852,621,231
