"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",6925,82,2905,2340,713,218,119,25,5,,518
"Sin Nivel (001)",717,17,281,225,67,28,13,5,,,81
"Educación Inicial (002)",14,,6,3,3,1,,,,,1
"Primaria (003)",4465,55,2045,1471,378,116,77,18,4,,301
"Secundaria (004)",1121,9,486,394,108,23,14,1,,,86
"Sup. no Univ. Incompleta (005)",127,,23,62,22,5,3,,,,12
"Sup. no Univ. Completa (006)",308,1,45,120,85,25,5,1,1,,25
"Sup. Univ. Incompleta (007)",43,,7,21,6,5,1,,,,3
"Sup. Univ. Completa (008)",130,,12,44,44,15,6,,,,9
,,,,,,,,,,,
"URBANA (010)",2421,17,879,867,315,98,63,10,3,,169
"Sin Nivel (011)",133,4,40,45,12,6,5,2,,,19
"Educación Inicial (012)",9,,4,3,1,,,,,,1
"Primaria (013)",1295,9,546,441,130,42,34,7,2,,84
"Secundaria (014)",523,3,223,184,53,14,10,,,,36
"Sup. no Univ. Incompleta (015)",94,,16,49,15,4,3,,,,7
"Sup. no Univ. Completa (016)",221,1,32,89,63,16,5,1,1,,13
"Sup. Univ. Incompleta (017)",35,,7,18,3,3,1,,,,3
"Sup. Univ. Completa (018)",111,,11,38,38,13,5,,,,6
,,,,,,,,,,,
"RURAL (020)",4504,65,2026,1473,398,120,56,15,2,,349
"Sin Nivel (021)",584,13,241,180,55,22,8,3,,,62
"Educación Inicial (022)",5,,2,,2,1,,,,,
"Primaria (023)",3170,46,1499,1030,248,74,43,11,2,,217
"Secundaria (024)",598,6,263,210,55,9,4,1,,,50
"Sup. no Univ. Incompleta (025)",33,,7,13,7,1,,,,,5
"Sup. no Univ. Completa (026)",87,,13,31,22,9,,,,,12
"Sup. Univ. Incompleta (027)",8,,,3,3,2,,,,,
"Sup. Univ. Completa (028)",19,,1,6,6,2,1,,,,3
