"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",58320,1426,20788,14159,10558,7339,4050
"Hombres (001)",29797,720,10504,7376,5640,3678,1879
"Mujeres (002)",28523,706,10284,6783,4918,3661,2171
"Viviendas particulares (003)",56089,1423,20777,13350,9480,7023,4036
"Hombres (004)",27722,719,10499,6646,4614,3376,1868
"Mujeres (005)",28367,704,10278,6704,4866,3647,2168
"Viviendas colectivas (006)",2138,2,8,776,1048,292,12
"Hombres (007)",2014,1,4,713,1004,283,9
"Mujeres (008)",124,1,4,63,44,9,3
"Otro tipo (009)",93,1,3,33,30,24,2
"Hombres (010)",61,,1,17,22,19,2
"Mujeres (011)",32,1,2,16,8,5,
,,,,,,,
"URBANA (012)",19966,434,6778,5015,3852,2619,1268
"Hombres (013)",9564,215,3355,2398,1843,1214,539
"Mujeres (014)",10402,219,3423,2617,2009,1405,729
"Viviendas particulares (015)",19753,431,6767,4936,3777,2578,1264
"Hombres (016)",9416,214,3350,2345,1788,1182,537
"Mujeres (017)",10337,217,3417,2591,1989,1396,727
"Viviendas colectivas (018)",130,2,8,52,46,19,3
"Hombres (019)",92,1,4,37,34,15,1
"Mujeres (020)",38,1,4,15,12,4,2
"Otro tipo (021)",83,1,3,27,29,22,1
"Hombres (022)",56,,1,16,21,17,1
"Mujeres (023)",27,1,2,11,8,5,
,,,,,,,
"RURAL (024)",38354,992,14010,9144,6706,4720,2782
"Hombres (025)",20233,505,7149,4978,3797,2464,1340
"Mujeres (026)",18121,487,6861,4166,2909,2256,1442
"Viviendas particulares (027)",36336,992,14010,8414,5703,4445,2772
"Hombres (028)",18306,505,7149,4301,2826,2194,1331
"Mujeres (029)",18030,487,6861,4113,2877,2251,1441
"Viviendas colectivas (030)",2008,,,724,1002,273,9
"Hombres (031)",1922,,,676,970,268,8
"Mujeres (032)",86,,,48,32,5,1
"Otro tipo (033)",10,,,6,1,2,1
"Hombres (034)",5,,,1,1,2,1
"Mujeres (035)",5,,,5,,,
