"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CHANCHAMAYO (000)",64233,4744,78,20242,25542,3211,3684,2120,4612
"Empleado (001)",10095,163,7,831,2959,936,1697,781,2721
"Obrero (002)",13460,1000,9,4875,6181,470,419,235,271
"Trabajador independiente (003)",29731,2593,31,10397,11891,1385,1227,873,1334
"Empleador o patrono (004)",2817,285,1,1052,1028,111,117,97,126
"Trabajador familiar no remunerado (005)",6900,578,25,2714,2890,255,186,117,135
"Trabajador del hogar (006)",1230,125,5,373,593,54,38,17,25
"Hombres (008)",46748,2908,40,15298,19796,2177,2220,1466,2843
"Empleado (009)",5415,49,1,357,1754,494,817,488,1455
"Obrero (010)",11777,712,6,4176,5636,413,386,207,241
"Trabajador independiente (011)",22883,1723,18,8218,9466,1015,833,629,981
"Empleador o patrono (012)",2355,210,1,937,874,87,79,71,96
"Trabajador familiar no remunerado (013)",4234,210,14,1593,2016,159,103,70,69
"Trabajador del hogar (014)",84,4,,17,50,9,2,1,1
"Mujeres (016)",17485,1836,38,4944,5746,1034,1464,654,1769
"Empleado (017)",4680,114,6,474,1205,442,880,293,1266
"Obrero (018)",1683,288,3,699,545,57,33,28,30
"Trabajador independiente (019)",6848,870,13,2179,2425,370,394,244,353
"Empleador o patrono (020)",462,75,,115,154,24,38,26,30
"Trabajador familiar no remunerado (021)",2666,368,11,1121,874,96,83,47,66
"Trabajador del hogar (022)",1146,121,5,356,543,45,36,16,24
,,,,,,,,,
"URBANA (024)",35801,1567,50,8057,15011,2500,2938,1772,3906
"Empleado (025)",8852,126,7,681,2620,846,1467,712,2393
"Obrero (026)",6169,313,2,1773,3161,298,249,182,191
"Trabajador independiente (027)",16318,861,23,4285,7260,1092,973,719,1105
"Empleador o patrono (028)",1249,60,1,334,508,73,102,73,98
"Trabajador familiar no remunerado (029)",2295,129,14,714,1007,143,119,74,95
"Trabajador del hogar (030)",918,78,3,270,455,48,28,12,24
"Hombres (032)",23424,658,23,5193,10779,1615,1651,1189,2316
"Empleado (033)",4714,43,1,310,1541,452,677,443,1247
"Obrero (034)",5323,207,2,1442,2857,258,230,158,169
"Trabajador independiente (035)",11227,338,11,2805,5389,778,620,501,785
"Empleador o patrono (036)",948,27,1,279,398,51,71,50,71
"Trabajador familiar no remunerado (037)",1167,42,8,348,567,70,53,36,43
"Trabajador del hogar (038)",45,1,,9,27,6,,1,1
"Mujeres (040)",12377,909,27,2864,4232,885,1287,583,1590
"Empleado (041)",4138,83,6,371,1079,394,790,269,1146
"Obrero (042)",846,106,,331,304,40,19,24,22
"Trabajador independiente (043)",5091,523,12,1480,1871,314,353,218,320
"Empleador o patrono (044)",301,33,,55,110,22,31,23,27
"Trabajador familiar no remunerado (045)",1128,87,6,366,440,73,66,38,52
"Trabajador del hogar (046)",873,77,3,261,428,42,28,11,23
,,,,,,,,,
"RURAL (048)",28432,3177,28,12185,10531,711,746,348,706
"Empleado (049)",1243,37,,150,339,90,230,69,328
"Obrero (050)",7291,687,7,3102,3020,172,170,53,80
"Trabajador independiente (051)",13413,1732,8,6112,4631,293,254,154,229
"Empleador o patrono (052)",1568,225,,718,520,38,15,24,28
"Trabajador familiar no remunerado (053)",4605,449,11,2000,1883,112,67,43,40
"Trabajador del hogar (054)",312,47,2,103,138,6,10,5,1
"Hombres (056)",23324,2250,17,10105,9017,562,569,277,527
"Empleado (057)",701,6,,47,213,42,140,45,208
"Obrero (058)",6454,505,4,2734,2779,155,156,49,72
"Trabajador independiente (059)",11656,1385,7,5413,4077,237,213,128,196
"Empleador o patrono (060)",1407,183,,658,476,36,8,21,25
"Trabajador familiar no remunerado (061)",3067,168,6,1245,1449,89,50,34,26
"Trabajador del hogar (062)",39,3,,8,23,3,2,,
"Mujeres (064)",5108,927,11,2080,1514,149,177,71,179
"Empleado (065)",542,31,,103,126,48,90,24,120
"Obrero (066)",837,182,3,368,241,17,14,4,8
"Trabajador independiente (067)",1757,347,1,699,554,56,41,26,33
"Empleador o patrono (068)",161,42,,60,44,2,7,3,3
"Trabajador familiar no remunerado (069)",1538,281,5,755,434,23,17,9,14
"Trabajador del hogar (070)",273,44,2,95,115,3,8,5,1
