"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia AZANGARO (000)",99755,9313,6239,936,83320
"Conviviente (001)",19889,1312,1130,154,17301
"Separado(a) (002)",2310,122,91,15,2084
"Casado(a) (003)",32838,1879,2930,367,27689
"Viudo(a) (004)",6942,371,348,75,6148
"Divorciado(a) (005)",310,16,14,3,277
"Soltero(a) (006)",37466,5613,1726,322,29821
"Hombres (008)",47781,4094,3264,585,39871
"Conviviente (009)",9429,364,593,99,8378
"Separado(a) (010)",395,9,33,8,345
"Casado(a) (011)",16113,757,1623,253,13498
"Viudo(a) (012)",2064,81,113,24,1846
"Divorciado(a) (013)",96,5,11,2,78
"Soltero(a) (014)",19684,2878,891,199,15726
"Mujeres (016)",51974,5219,2975,351,43449
"Conviviente (017)",10460,948,537,55,8923
"Separado(a) (018)",1915,113,58,7,1739
"Casado(a) (019)",16725,1122,1307,114,14191
"Viudo(a) (020)",4878,290,235,51,4302
"Divorciado(a) (021)",214,11,3,1,199
"Soltero(a) (022)",17782,2735,835,123,14095
,,,,,
"URBANA (024)",27679,2065,4375,541,20724
"Conviviente (025)",6933,373,945,109,5509
"Separado(a) (026)",794,42,70,11,671
"Casado(a) (027)",7614,347,1876,179,5227
"Viudo(a) (028)",1343,72,179,31,1061
"Divorciado(a) (029)",96,5,11,3,77
"Soltero(a) (030)",10899,1226,1294,208,8179
"Hombres (032)",13648,926,2255,365,10123
"Conviviente (033)",3298,114,489,77,2621
"Separado(a) (034)",158,2,24,7,125
"Casado(a) (035)",3927,154,1023,141,2622
"Viudo(a) (036)",367,11,61,7,288
"Divorciado(a) (037)",35,3,8,2,22
"Soltero(a) (038)",5863,642,650,131,4445
"Mujeres (040)",14031,1139,2120,176,10601
"Conviviente (041)",3635,259,456,32,2888
"Separado(a) (042)",636,40,46,4,546
"Casado(a) (043)",3687,193,853,38,2605
"Viudo(a) (044)",976,61,118,24,773
"Divorciado(a) (045)",61,2,3,1,55
"Soltero(a) (046)",5036,584,644,77,3734
,,,,,
"RURAL (048)",72076,7248,1864,395,62596
"Conviviente (049)",12956,939,185,45,11792
"Separado(a) (050)",1516,80,21,4,1413
"Casado(a) (051)",25224,1532,1054,188,22462
"Viudo(a) (052)",5599,299,169,44,5087
"Divorciado(a) (053)",214,11,3,,200
"Soltero(a) (054)",26567,4387,432,114,21642
"Hombres (056)",34133,3168,1009,220,29748
"Conviviente (057)",6131,250,104,22,5757
"Separado(a) (058)",237,7,9,1,220
"Casado(a) (059)",12186,603,600,112,10876
"Viudo(a) (060)",1697,70,52,17,1558
"Divorciado(a) (061)",61,2,3,,56
"Soltero(a) (062)",13821,2236,241,68,11281
"Mujeres (064)",37943,4080,855,175,32848
"Conviviente (065)",6825,689,81,23,6035
"Separado(a) (066)",1279,73,12,3,1193
"Casado(a) (067)",13038,929,454,76,11586
"Viudo(a) (068)",3902,229,117,27,3529
"Divorciado(a) (069)",153,9,,,144
"Soltero(a) (070)",12746,2151,191,46,10361
