"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CONDESUYOS (000)",7524,6333,1191
"De 3 a 5 años (001)",1106,83,1023
"De 6 a 11 años (002)",2144,2014,130
"De 12 a 16 años (003)",1850,1837,13
"De 17 a 24 años (004)",2424,2399,25
"Hombres (005)",3950,3387,563
"De 3 a 5 años (006)",527,37,490
"De 6 a 11 años (007)",1114,1056,58
"De 12 a 16 años (008)",887,881,6
"De 17 a 24 años (009)",1422,1413,9
"Mujeres (010)",3574,2946,628
"De 3 a 5 años (011)",579,46,533
"De 6 a 11 años (012)",1030,958,72
"De 12 a 16 años (013)",963,956,7
"De 17 a 24 años (014)",1002,986,16
,,,
"URBANA (015)",3310,2859,451
"De 3 a 5 años (016)",437,37,400
"De 6 a 11 años (017)",964,918,46
"De 12 a 16 años (018)",949,945,4
"De 17 a 24 años (019)",960,959,1
"Hombres (020)",1692,1470,222
"De 3 a 5 años (021)",219,21,198
"De 6 a 11 años (022)",496,475,21
"De 12 a 16 años (023)",458,456,2
"De 17 a 24 años (024)",519,518,1
"Mujeres (025)",1618,1389,229
"De 3 a 5 años (026)",218,16,202
"De 6 a 11 años (027)",468,443,25
"De 12 a 16 años (028)",491,489,2
"De 17 a 24 años (029)",441,441,
,,,
"RURAL (030)",4214,3474,740
"De 3 a 5 años (031)",669,46,623
"De 6 a 11 años (032)",1180,1096,84
"De 12 a 16 años (033)",901,892,9
"De 17 a 24 años (034)",1464,1440,24
"Hombres (035)",2258,1917,341
"De 3 a 5 años (036)",308,16,292
"De 6 a 11 años (037)",618,581,37
"De 12 a 16 años (038)",429,425,4
"De 17 a 24 años (039)",903,895,8
"Mujeres (040)",1956,1557,399
"De 3 a 5 años (041)",361,30,331
"De 6 a 11 años (042)",562,515,47
"De 12 a 16 años (043)",472,467,5
"De 17 a 24 años (044)",561,545,16
