"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CONDORCANQUI (000)",24706,5406,6084,5620,3798,2170,1628
"Católica (001)",6320,1250,1455,1518,1047,633,417
"Cristiana/Evangélica (002)",9581,2158,2298,2074,1496,853,702
"Otra (003)",3940,918,946,870,563,373,270
"Ninguna (004)",4865,1080,1385,1158,692,311,239
"Hombres (006)",12461,2655,2924,2813,2013,1172,884
"Católica (007)",3405,623,754,787,601,381,259
"Cristiana/Evangélica (008)",4607,1047,1054,964,755,427,360
"Otra (009)",1988,473,461,435,284,199,136
"Ninguna (010)",2461,512,655,627,373,165,129
"Mujeres (012)",12245,2751,3160,2807,1785,998,744
"Católica (013)",2915,627,701,731,446,252,158
"Cristiana/Evangélica (014)",4974,1111,1244,1110,741,426,342
"Otra (015)",1952,445,485,435,279,174,134
"Ninguna (016)",2404,568,730,531,319,146,110
,,,,,,,
"URBANA (018)",4214,1078,1016,885,607,376,252
"Católica (019)",1745,413,373,392,273,169,125
"Cristiana/Evangélica (020)",1595,418,399,313,228,148,89
"Otra (021)",514,146,141,96,62,45,24
"Ninguna (022)",360,101,103,84,44,14,14
"Hombres (024)",2208,563,535,436,326,202,146
"Católica (025)",920,215,194,199,144,98,70
"Cristiana/Evangélica (026)",808,206,213,143,122,71,53
"Otra (027)",283,84,79,49,34,24,13
"Ninguna (028)",197,58,49,45,26,9,10
"Mujeres (030)",2006,515,481,449,281,174,106
"Católica (031)",825,198,179,193,129,71,55
"Cristiana/Evangélica (032)",787,212,186,170,106,77,36
"Otra (033)",231,62,62,47,28,21,11
"Ninguna (034)",163,43,54,39,18,5,4
,,,,,,,
"RURAL (036)",20492,4328,5068,4735,3191,1794,1376
"Católica (037)",4575,837,1082,1126,774,464,292
"Cristiana/Evangélica (038)",7986,1740,1899,1761,1268,705,613
"Otra (039)",3426,772,805,774,501,328,246
"Ninguna (040)",4505,979,1282,1074,648,297,225
"Hombres (042)",10253,2092,2389,2377,1687,970,738
"Católica (043)",2485,408,560,588,457,283,189
"Cristiana/Evangélica (044)",3799,841,841,821,633,356,307
"Otra (045)",1705,389,382,386,250,175,123
"Ninguna (046)",2264,454,606,582,347,156,119
"Mujeres (048)",10239,2236,2679,2358,1504,824,638
"Católica (049)",2090,429,522,538,317,181,103
"Cristiana/Evangélica (050)",4187,899,1058,940,635,349,306
"Otra (051)",1721,383,423,388,251,153,123
"Ninguna (052)",2241,525,676,492,301,141,106
