"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia OCROS (000)",3528,2967,276,138,147
"Empleado (001)",404,164,61,65,114
"Obrero (002)",862,620,143,67,32
"Trabajador independiente (003)",1821,1763,58,,
"Empleador o patrono (004)",36,25,7,3,1
"Trabajador familiar no remunerado (005)",381,371,7,3,
"Trabajador del hogar (006)",24,24,,,
"De 06 a 14 años (008)",46,40,4,1,1
"Empleado (009)",3,3,,,
"Obrero (010)",11,6,3,1,1
"Trabajador independiente (011)",4,4,,,
"Trabajador familiar no remunerado (013)",26,25,1,,
"Trabajador del hogar (014)",2,2,,,
"De 15 a 29 años (016)",981,807,85,47,42
"Empleado (017)",118,55,15,15,33
"Obrero (018)",330,239,52,30,9
"Trabajador independiente (019)",355,341,14,,
"Empleador o patrono (020)",2,1,1,,
"Trabajador familiar no remunerado (021)",167,162,3,2,
"Trabajador del hogar (022)",9,9,,,
"De 30 a 44 años (024)",1073,846,104,60,63
"Empleado (025)",183,61,36,34,52
"Obrero (026)",248,168,45,24,11
"Trabajador independiente (027)",553,532,21,,
"Empleador o patrono (028)",8,6,1,1,
"Trabajador familiar no remunerado (029)",74,72,1,1,
"Trabajador del hogar (030)",7,7,,,
"De 45 a 64 años (032)",1036,905,67,28,36
"Empleado (033)",86,35,10,15,26
"Obrero (034)",202,148,34,11,9
"Trabajador independiente (035)",652,635,17,,
"Empleador o patrono (036)",20,12,5,2,1
"Trabajador familiar no remunerado (037)",71,70,1,,
"Trabajador del hogar (038)",5,5,,,
"De 65 y más años (040)",392,369,16,2,5
"Empleado (041)",14,10,,1,3
"Obrero (042)",71,59,9,1,2
"Trabajador independiente (043)",257,251,6,,
"Empleador o patrono (044)",6,6,,,
"Trabajador familiar no remunerado (045)",43,42,1,,
"Trabajador del hogar (046)",1,1,,,
,,,,,
"URBANA (048)",2130,1735,164,102,129
"Empleado (049)",348,140,52,56,100
"Obrero (050)",454,320,63,42,29
"Trabajador independiente (051)",1086,1046,40,,
"Empleador o patrono (052)",23,19,3,1,
"Trabajador familiar no remunerado (053)",204,195,6,3,
"Trabajador del hogar (054)",15,15,,,
"De 06 a 14 años (056)",25,24,,,1
"Empleado (057)",3,3,,,
"Obrero (058)",4,3,,,1
