"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LUCANAS (000)",17527,348,6862,5315,1663,589,271,107,16,,2356
"Sin Nivel (001)",4873,193,2103,1271,364,153,87,49,7,,646
"Educación Inicial (002)",15,,8,4,,1,,,,,2
"Primaria (003)",5701,119,2642,1656,422,141,79,29,2,,611
"Secundaria (004)",4168,28,1606,1360,388,103,43,7,5,,628
"Sup. no Univ. Incompleta (005)",567,2,154,215,66,14,9,2,,,105
"Sup. no Univ. Completa (006)",1427,4,244,568,260,101,31,8,1,,210
"Sup. Univ. Incompleta (007)",156,1,32,44,20,8,3,,,,48
"Sup. Univ. Completa (008)",620,1,73,197,143,68,19,12,1,,106
,,,,,,,,,,,
"URBANA (010)",10662,216,3922,3282,1088,410,198,75,14,,1457
"Sin Nivel (011)",2577,136,1080,641,187,93,66,31,6,,337
"Educación Inicial (012)",12,,7,3,,1,,,,,1
"Primaria (013)",3041,65,1383,882,228,90,52,23,2,,316
"Secundaria (014)",2717,10,1020,889,265,71,32,5,5,,420
"Sup. no Univ. Incompleta (015)",453,1,132,170,48,9,5,2,,,86
"Sup. no Univ. Completa (016)",1213,2,216,494,221,84,25,5,1,,165
"Sup. Univ. Incompleta (017)",128,1,25,35,15,7,3,,,,42
"Sup. Univ. Completa (018)",521,1,59,168,124,55,15,9,,,90
,,,,,,,,,,,
"RURAL (020)",6865,132,2940,2033,575,179,73,32,2,,899
"Sin Nivel (021)",2296,57,1023,630,177,60,21,18,1,,309
"Educación Inicial (022)",3,,1,1,,,,,,,1
"Primaria (023)",2660,54,1259,774,194,51,27,6,,,295
"Secundaria (024)",1451,18,586,471,123,32,11,2,,,208
"Sup. no Univ. Incompleta (025)",114,1,22,45,18,5,4,,,,19
"Sup. no Univ. Completa (026)",214,2,28,74,39,17,6,3,,,45
"Sup. Univ. Incompleta (027)",28,,7,9,5,1,,,,,6
"Sup. Univ. Completa (028)",99,,14,29,19,13,4,3,1,,16
