"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia ILO",,,,,,,,,
"Viviendas particulares (001)",17005,14212,113,596,51,1883,7,22,121
"Ocupantes presentes (002)",61077,52495,335,1875,142,5779,20,76,355
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",15180,12796,107,503,46,1589,7,22,110
"Ocupantes presentes (005)",55449,48029,319,1623,126,4921,20,76,335
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",1334,1317,3,14,,,,,
"Ocupantes presentes (008)",4223,4191,7,25,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",44,41,,1,2,,,,
"Ocupantes presentes (011)",142,130,,4,8,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",46,41,2,1,,2,,,
"Ocupantes presentes (014)",121,103,6,5,,7,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",11,,1,7,3,,,,
"Ocupantes presentes (017)",28,,3,17,8,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",360,,,64,,292,,,4
"Ocupantes presentes (020)",1055,,,194,,851,,,10
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",25,17,,6,,,,,2
"Ocupantes presentes (023)",51,42,,7,,,,,2
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",5,,,,,,,,5
"Ocupantes presentes (026)",8,,,,,,,,8
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",16906,14196,70,572,39,1880,7,22,120
"Ocupantes presentes (029)",60848,52461,232,1821,115,5769,20,76,354
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",15093,12780,65,486,37,1586,7,22,110
"Ocupantes presentes (032)",55249,47995,219,1586,107,4911,20,76,335
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",1334,1317,3,14,,,,,
"Ocupantes presentes (035)",4223,4191,7,25,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",44,41,,1,2,,,,
"Ocupantes presentes (038)",142,130,,4,8,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",46,41,2,1,,2,,,
"Ocupantes presentes (041)",121,103,6,5,,7,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",360,,,64,,292,,,4
"Ocupantes presentes (047)",1055,,,194,,851,,,10
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",24,17,,6,,,,,1
"Ocupantes presentes (050)",50,42,,7,,,,,1
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",5,,,,,,,,5
"Ocupantes presentes (053)",8,,,,,,,,8
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",99,16,43,24,12,3,,,1
"Ocupantes presentes (056)",229,34,103,54,27,10,,,1
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",87,16,42,17,9,3,,,
"Ocupantes presentes (059)",200,34,100,37,19,10,,,
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",11,,1,7,3,,,,
"Ocupantes presentes (071)",28,,3,17,8,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",1,,,,,,,,1
"Otro tipo",,,,,,,,,
