"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CUSCO (000)",349453,13515,70872,79286,64074,48218,33324,20209,19955
"Quechua (001)",63675,492,3984,8442,13127,14417,10150,6253,6810
"Aymara (002)",781,5,56,38,254,162,110,76,80
"Ashaninca (003)",94,3,17,66,2,2,2,,2
"Otra lengua nativa (004)",306,1,14,135,75,40,21,13,7
"Castellano (005)",282610,12991,66688,70343,50343,33340,22713,13409,12783
"Idioma extranjero (006)",1521,3,15,115,203,205,290,441,249
"Es sordomudo/a (007)",466,20,98,147,70,52,38,17,24
"Hombres (009)",168149,6895,35705,38178,30194,22568,15759,9603,9247
"Quechua (010)",30325,247,1956,3777,6153,7138,5049,3017,2988
"Aymara (011)",596,3,27,21,225,123,86,58,53
"Ashaninca (012)",59,,14,42,1,,2,,
"Otra lengua nativa (013)",154,1,,57,52,15,13,11,5
"Castellano (014)",136093,6633,33663,34165,23644,15175,10439,6299,6075
"Idioma extranjero (015)",730,1,7,65,79,90,156,210,122
"Es sordomudo/a (016)",192,10,38,51,40,27,14,8,4
"Mujeres (018)",181304,6620,35167,41108,33880,25650,17565,10606,10708
"Quechua (019)",33350,245,2028,4665,6974,7279,5101,3236,3822
"Aymara (020)",185,2,29,17,29,39,24,18,27
"Ashaninca (021)",35,3,3,24,1,2,,,2
"Otra lengua nativa (022)",152,,14,78,23,25,8,2,2
"Castellano (023)",146517,6358,33025,36178,26699,18165,12274,7110,6708
"Idioma extranjero (024)",791,2,8,50,124,115,134,231,127
"Es sordomudo/a (025)",274,10,60,96,30,25,24,9,20
,,,,,,,,,
"URBANA (027)",334457,12704,66507,76643,61797,46119,32091,19454,19142
"Quechua (028)",54633,167,2089,7313,11632,12670,9093,5596,6073
"Aymara (029)",774,4,53,37,253,162,110,76,79
"Ashaninca (030)",87,2,15,62,2,2,2,,2
"Otra lengua nativa (031)",305,1,14,134,75,40,21,13,7
"Castellano (032)",276682,12507,64228,68841,49562,32988,22537,13311,12708
"Idioma extranjero (033)",1521,3,15,115,203,205,290,441,249
"Es sordomudo/a (034)",455,20,93,141,70,52,38,17,24
"Hombres (036)",160606,6494,33473,36780,29076,21511,15129,9235,8908
"Quechua (037)",25920,87,991,3201,5493,6237,4509,2706,2696
"Aymara (038)",595,3,26,21,225,123,86,58,53
"Ashaninca (039)",53,,12,38,1,,2,,
"Otra lengua nativa (040)",153,1,,56,52,15,13,11,5
"Castellano (041)",132971,6392,32401,33354,23186,15019,10349,6242,6028
"Idioma extranjero (042)",730,1,7,65,79,90,156,210,122
"Es sordomudo/a (043)",184,10,36,45,40,27,14,8,4
"Mujeres (045)",173851,6210,33034,39863,32721,24608,16962,10219,10234
"Quechua (046)",28713,80,1098,4112,6139,6433,4584,2890,3377
"Aymara (047)",179,1,27,16,28,39,24,18,26
"Ashaninca (048)",34,2,3,24,1,2,,,2
"Otra lengua nativa (049)",152,,14,78,23,25,8,2,2
"Castellano (050)",143711,6115,31827,35487,26376,17969,12188,7069,6680
"Idioma extranjero (051)",791,2,8,50,124,115,134,231,127
"Es sordomudo/a (052)",271,10,57,96,30,25,24,9,20
,,,,,,,,,
"RURAL (054)",14996,811,4365,2643,2277,2099,1233,755,813
"Quechua (055)",9042,325,1895,1129,1495,1747,1057,657,737
"Aymara (056)",7,1,3,1,1,,,,1
"Ashaninca (057)",7,1,2,4,,,,,
"Otra lengua nativa (058)",1,,,1,,,,,
"Castellano (059)",5928,484,2460,1502,781,352,176,98,75
"Es sordomudo/a (061)",11,,5,6,,,,,
"Hombres (063)",7543,401,2232,1398,1118,1057,630,368,339
"Quechua (064)",4405,160,965,576,660,901,540,311,292
"Aymara (065)",1,,1,,,,,,
"Ashaninca (066)",6,,2,4,,,,,
"Otra lengua nativa (067)",1,,,1,,,,,
"Castellano (068)",3122,241,1262,811,458,156,90,57,47
"Es sordomudo/a (070)",8,,2,6,,,,,
"Mujeres (072)",7453,410,2133,1245,1159,1042,603,387,474
"Quechua (073)",4637,165,930,553,835,846,517,346,445
"Aymara (074)",6,1,2,1,1,,,,1
"Ashaninca (075)",1,1,,,,,,,
"Castellano (077)",2806,243,1198,691,323,196,86,41,28
"Es sordomudo/a (079)",3,,3,,,,,,
