"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHUCUITO (000)",111348,25336,35563,22798,18119,9532
"Sin nivel (001)",9341,364,311,737,3181,4748
"Educación inicial (002)",1150,1097,31,22,,
"Primaria (003)",43611,17762,4260,7598,9877,4114
"Secundaria (004)",45665,6113,24580,10763,3750,459
"Superior no univ. incompleta (005)",3976,,2876,839,236,25
"Superior no univ. completa (006)",3242,,1450,1253,443,96
"Superior univ. incompleta (007)",1850,,1323,376,135,16
"Superior univ. completa (008)",2513,,732,1210,497,74
"PEA (010)",48074,624,16216,15557,11667,4010
"Sin nivel (011)",3380,18,152,347,1452,1411
"Educación inicial (012)",32,6,10,16,,
"Primaria (013)",15650,391,2279,4449,6270,2261
"Secundaria (014)",22268,209,11204,7752,2851,252
"Superior no univ. incompleta (015)",1686,,832,637,202,15
"Superior no univ. completa (016)",2400,,947,1064,356,33
"Superior univ. incompleta (017)",661,,280,267,108,6
"Superior univ. completa (018)",1997,,512,1025,428,32
"Ocupada (020)",43840,541,13938,14356,11132,3873
"Sin nivel (021)",3156,9,107,276,1388,1376
"Educación inicial (022)",28,6,6,16,,
"Primaria (023)",14676,339,1967,4165,6021,2184
"Secundaria (024)",19884,187,9639,7143,2682,233
"Superior no univ. incompleta (025)",1526,,734,588,189,15
"Superior no univ. completa (026)",2148,,793,984,341,30
"Superior univ. incompleta (027)",609,,253,249,102,5
"Superior univ. completa (028)",1813,,439,935,409,30
