"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia ANTA",,,,,
"Viviendas particulares (001)",705,153,132,121,299
"Ocupantes presentes (002)",2995,638,561,575,1221
"Casa independiente",,,,,
"Viviendas particulares (004)",703,153,132,121,297
"Ocupantes presentes (005)",2988,638,561,575,1214
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (016)",2,,,,2
"Ocupantes presentes (017)",7,,,,7
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",300,57,37,44,162
"Ocupantes presentes (029)",1250,218,151,209,672
"Casa independiente",,,,,
"Viviendas particulares (031)",300,57,37,44,162
"Ocupantes presentes (032)",1250,218,151,209,672
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",405,96,95,77,137
"Ocupantes presentes (056)",1745,420,410,366,549
"Casa independiente",,,,,
"Viviendas particulares (058)",403,96,95,77,135
"Ocupantes presentes (059)",1738,420,410,366,542
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",2,,,,2
"Ocupantes presentes (071)",7,,,,7
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
