"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ILO (000)",24607,3367,6808,5750,8682
"Asiste actualmente (001)",18099,2292,6594,5459,3754
"No asiste (002)",6508,1075,214,291,4928
"Hombres (004)",12410,1724,3426,2891,4369
"Asiste actualmente (005)",9171,1166,3335,2759,1911
"No asiste (006)",3239,558,91,132,2458
"Mujeres (008)",12197,1643,3382,2859,4313
"Asiste actualmente (009)",8928,1126,3259,2700,1843
"No asiste (010)",3269,517,123,159,2470
,,,,,
"URBANA (012)",24244,3362,6788,5730,8364
"Asiste actualmente (013)",17979,2290,6574,5447,3668
"No asiste (014)",6265,1072,214,283,4696
"Hombres (016)",12095,1722,3417,2876,4080
"Asiste actualmente (017)",9071,1164,3326,2751,1830
"No asiste (018)",3024,558,91,125,2250
"Mujeres (020)",12149,1640,3371,2854,4284
"Asiste actualmente (021)",8908,1126,3248,2696,1838
"No asiste (022)",3241,514,123,158,2446
,,,,,
"RURAL (024)",363,5,20,20,318
"Asiste actualmente (025)",120,2,20,12,86
"No asiste (026)",243,3,,8,232
"Hombres (028)",315,2,9,15,289
"Asiste actualmente (029)",100,2,9,8,81
"No asiste (030)",215,,,7,208
"Mujeres (032)",48,3,11,5,29
"Asiste actualmente (033)",20,,11,4,5
"No asiste (034)",28,3,,1,24
