"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ANGARAES (000)",55704,18839,7210,687,29035
"Menos de 1 año (001)",1186,782,133,13,258
"De 1 a 14 años (002)",22606,13938,2814,217,5669
"De 15 a 29 años (003)",13081,2437,1384,141,9130
"De 30 a 44 años (004)",8479,886,1479,133,5994
"De 45 a 64 años (005)",7109,573,1108,129,5309
"De 65 y mas años (006)",3243,223,292,54,2675
"Hombres (008)",27252,9229,3725,407,13933
"Menos de 1 año (009)",595,392,69,8,126
"De 1 a 14 años (010)",11468,7092,1434,114,2845
"De 15 a 29 años (011)",6411,1072,698,87,4560
"De 30 a 44 años (012)",3976,327,745,87,2827
"De 45 a 64 años (013)",3400,255,613,80,2461
"De 65 y mas años (014)",1402,91,166,31,1114
"Mujeres (016)",28452,9610,3485,280,15102
"Menos de 1 año (017)",591,390,64,5,132
"De 1 a 14 años (018)",11138,6846,1380,103,2824
"De 15 a 29 años (019)",6670,1365,686,54,4570
"De 30 a 44 años (020)",4503,559,734,46,3167
"De 45 a 64 años (021)",3709,318,495,49,2848
"De 65 y mas años (022)",1841,132,126,23,1561
,,,,,
"URBANA (024)",16086,3804,3488,372,8446
"Menos de 1 año (025)",270,142,46,8,74
"De 1 a 14 años (026)",5660,2652,1169,86,1759
"De 15 a 29 años (027)",4047,559,654,94,2744
"De 30 a 44 años (028)",2867,208,828,88,1751
"De 45 a 64 años (029)",2292,167,627,67,1437
"De 65 y mas años (030)",950,76,164,29,681
"Hombres (032)",7850,1851,1778,232,4007
"Menos de 1 año (033)",147,80,23,5,39
"De 1 a 14 años (034)",2845,1335,595,43,878
"De 15 a 29 años (035)",1952,246,315,64,1329
"De 30 a 44 años (036)",1363,81,405,60,822
"De 45 a 64 años (037)",1138,74,342,44,683
"De 65 y mas años (038)",405,35,98,16,256
"Mujeres (040)",8236,1953,1710,140,4439
"Menos de 1 año (041)",123,62,23,3,35
"De 1 a 14 años (042)",2815,1317,574,43,881
"De 15 a 29 años (043)",2095,313,339,30,1415
"De 30 a 44 años (044)",1504,127,423,28,929
"De 45 a 64 años (045)",1154,93,285,23,754
"De 65 y mas años (046)",545,41,66,13,425
,,,,,
"RURAL (048)",39618,15035,3722,315,20589
"Menos de 1 año (049)",916,640,87,5,184
"De 1 a 14 años (050)",16946,11286,1645,131,3910
"De 15 a 29 años (051)",9034,1878,730,47,6386
"De 30 a 44 años (052)",5612,678,651,45,4243
"De 45 a 64 años (053)",4817,406,481,62,3872
"De 65 y mas años (054)",2293,147,128,25,1994
"Hombres (056)",19402,7378,1947,175,9926
"Menos de 1 año (057)",448,312,46,3,87
"De 1 a 14 años (058)",8623,5757,839,71,1967
"De 15 a 29 años (059)",4459,826,383,23,3231
"De 30 a 44 años (060)",2613,246,340,27,2005
"De 45 a 64 años (061)",2262,181,271,36,1778
"De 65 y mas años (062)",997,56,68,15,858
"Mujeres (064)",20216,7657,1775,140,10663
"Menos de 1 año (065)",468,328,41,2,97
"De 1 a 14 años (066)",8323,5529,806,60,1943
"De 15 a 29 años (067)",4575,1052,347,24,3155
"De 30 a 44 años (068)",2999,432,311,18,2238
"De 45 a 64 años (069)",2555,225,210,26,2094
"De 65 y mas años (070)",1296,91,60,10,1136
