"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SANDIA (000)",958,15,559,253,110,21
"Sin nivel (001)",33,3,3,9,13,5
"Educación inicial (002)",1,,,1,,
"Primaria (003)",269,8,90,102,54,15
"Secundaria (004)",518,4,376,103,35,
"Superior no univ. incompleta (005)",36,,27,6,2,1
"Superior no univ. completa (006)",52,,36,13,3,
"Superior univ. incompleta (007)",17,,11,6,,
"Superior univ. completa (008)",32,,16,13,3,
"Hombres (010)",768,8,419,224,98,19
"Sin nivel (011)",23,1,2,7,10,3
"Educación inicial (012)",1,,,1,,
"Primaria (013)",231,5,71,91,49,15
"Secundaria (014)",417,2,287,97,31,
"Superior no univ. incompleta (015)",29,,20,6,2,1
"Superior no univ. completa (016)",29,,17,9,3,
"Superior univ. incompleta (017)",13,,9,4,,
"Superior univ. completa (018)",25,,13,9,3,
"Mujeres (020)",190,7,140,29,12,2
"Sin nivel (021)",10,2,1,2,3,2
"Primaria (023)",38,3,19,11,5,
"Secundaria (024)",101,2,89,6,4,
"Superior no univ. incompleta (025)",7,,7,,,
"Superior no univ. completa (026)",23,,19,4,,
"Superior univ. incompleta (027)",4,,2,2,,
"Superior univ. completa (028)",7,,3,4,,
,,,,,,
"Area Urbana (030)",366,3,205,105,46,7
"Sin nivel (031)",9,,2,1,4,2
"Primaria (033)",62,,11,32,15,4
"Secundaria (034)",215,3,144,47,21,
"Superior no univ. incompleta (035)",20,,13,4,2,1
"Superior no univ. completa (036)",28,,19,8,1,
"Superior univ. incompleta (037)",8,,5,3,,
"Superior univ. completa (038)",24,,11,10,3,
"Hombres (040)",272,1,142,86,37,6
"Sin nivel (041)",5,,1,1,2,1
"Primaria (043)",50,,8,26,12,4
"Secundaria (044)",159,1,98,43,17,
"Superior no univ. incompleta (045)",17,,10,4,2,1
"Superior no univ. completa (046)",17,,11,5,1,
"Superior univ. incompleta (047)",5,,4,1,,
"Superior univ. completa (048)",19,,10,6,3,
"Mujeres (050)",94,2,63,19,9,1
"Sin nivel (051)",4,,1,,2,1
"Primaria (053)",12,,3,6,3,
"Secundaria (054)",56,2,46,4,4,
"Superior no univ. incompleta (055)",3,,3,,,
"Superior no univ. completa (056)",11,,8,3,,
"Superior univ. incompleta (057)",3,,1,2,,
"Superior univ. completa (058)",5,,1,4,,
,,,,,,
"Area Rural (060)",592,12,354,148,64,14
"Sin nivel (061)",24,3,1,8,9,3
"Educación inicial (062)",1,,,1,,
"Primaria (063)",207,8,79,70,39,11
"Secundaria (064)",303,1,232,56,14,
"Superior no univ. incompleta (065)",16,,14,2,,
"Superior no univ. completa (066)",24,,17,5,2,
"Superior univ. incompleta (067)",9,,6,3,,
"Superior univ. completa (068)",8,,5,3,,
"Hombres (070)",496,7,277,138,61,13
"Sin nivel (071)",18,1,1,6,8,2
"Educación inicial (072)",1,,,1,,
"Primaria (073)",181,5,63,65,37,11
"Secundaria (074)",258,1,189,54,14,
"Superior no univ. incompleta (075)",12,,10,2,,
"Superior no univ. completa (076)",12,,6,4,2,
"Superior univ. incompleta (077)",8,,5,3,,
"Superior univ. completa (078)",6,,3,3,,
"Mujeres (080)",96,5,77,10,3,1
"Sin nivel (081)",6,2,,2,1,1
"Primaria (083)",26,3,16,5,2,
"Secundaria (084)",45,,43,2,,
"Superior no univ. incompleta (085)",4,,4,,,
"Superior no univ. completa (086)",12,,11,1,,
"Superior univ. incompleta (087)",1,,1,,,
"Superior univ. completa (088)",2,,2,,,
