"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CALCA (000)",16926,171,6192,5572,1711,548,231,69,15,,2417
"Conviviente (001)",6270,70,2509,2042,622,171,67,8,5,,776
"Separado(a) (002)",706,9,270,251,80,24,7,5,,,60
"Casado(a) (003)",6832,70,2615,2473,729,239,115,37,8,,546
"Viudo(a) (004)",1942,17,653,662,219,85,29,15,1,,261
"Divorciado(a) (005)",107,,36,41,13,,,,1,,16
"Soltero(a) (006)",1069,5,109,103,48,29,13,4,,,758
,,,,,,,,,,,
"URBANA (008)",6353,76,2060,1958,799,262,112,28,8,,1050
"Conviviente (009)",2549,28,926,815,309,90,36,3,3,,339
"Separado(a) (010)",380,7,139,128,48,18,4,4,,,32
"Casado(a) (011)",2153,28,707,731,328,107,55,11,3,,183
"Viudo(a) (012)",597,10,197,193,73,26,9,8,1,,80
"Divorciado(a) (013)",57,,22,23,8,,,,1,,3
"Soltero(a) (014)",617,3,69,68,33,21,8,2,,,413
,,,,,,,,,,,
"RURAL (016)",10573,95,4132,3614,912,286,119,41,7,,1367
"Conviviente (017)",3721,42,1583,1227,313,81,31,5,2,,437
"Separado(a) (018)",326,2,131,123,32,6,3,1,,,28
"Casado(a) (019)",4679,42,1908,1742,401,132,60,26,5,,363
"Viudo(a) (020)",1345,7,456,469,146,59,20,7,,,181
"Divorciado(a) (021)",50,,14,18,5,,,,,,13
"Soltero(a) (022)",452,2,40,35,15,8,5,2,,,345
