"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia EL DORADO (000)",8084,245,4129,1932,492,160,89,28,3,,1006
"Sin Nivel (001)",1518,53,677,393,82,54,28,8,1,,222
"Educación Inicial (002)",20,1,14,5,,,,,,,
"Primaria (003)",4876,160,2704,1085,255,69,44,16,2,,541
"Secundaria (004)",1372,29,681,354,81,16,7,2,,,202
"Sup. no Univ. Incompleta (005)",56,,14,17,13,,3,,,,9
"Sup. no Univ. Completa (006)",136,,20,44,38,14,5,1,,,14
"Sup. Univ. Incompleta (007)",30,1,9,9,4,1,,,,,6
"Sup. Univ. Completa (008)",76,1,10,25,19,6,2,1,,,12
,,,,,,,,,,,
"URBANA (010)",3408,79,1619,838,252,79,60,20,1,,460
"Sin Nivel (011)",420,5,169,104,26,18,11,3,,,84
"Educación Inicial (012)",1,,,1,,,,,,,
"Primaria (013)",1918,57,992,437,114,34,34,13,1,,236
"Secundaria (014)",825,15,414,215,53,13,7,2,,,106
"Sup. no Univ. Incompleta (015)",43,,9,16,10,,2,,,,6
"Sup. no Univ. Completa (016)",113,,18,38,32,8,4,1,,,12
"Sup. Univ. Incompleta (017)",28,1,7,9,4,1,,,,,6
"Sup. Univ. Completa (018)",60,1,10,18,13,5,2,1,,,10
,,,,,,,,,,,
"RURAL (020)",4676,166,2510,1094,240,81,29,8,2,,546
"Sin Nivel (021)",1098,48,508,289,56,36,17,5,1,,138
"Educación Inicial (022)",19,1,14,4,,,,,,,
"Primaria (023)",2958,103,1712,648,141,35,10,3,1,,305
"Secundaria (024)",547,14,267,139,28,3,,,,,96
"Sup. no Univ. Incompleta (025)",13,,5,1,3,,1,,,,3
"Sup. no Univ. Completa (026)",23,,2,6,6,6,1,,,,2
"Sup. Univ. Incompleta (027)",2,,2,,,,,,,,
"Sup. Univ. Completa (028)",16,,,7,6,1,,,,,2
