"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONDESUYOS (000)",8408,4966,761,638,2043
"Sin nivel (001)",620,550,50,9,11
"Educación inicial (002)",2,2,,,
"Primaria (003)",2053,1590,181,87,195
"Secundaria (004)",3129,1692,325,222,890
"Superior no univ. incompleta (005)",617,338,44,52,183
"Superior no univ. completa (006)",1025,419,83,106,417
"Superior univ. incompleta (007)",298,141,26,32,99
"Superior univ. completa (008)",664,234,52,130,248
"De 06 a 14 años (010)",70,65,4,,1
"Primaria (013)",45,42,2,,1
"Secundaria (014)",25,23,2,,
"De 15 a 29 años (020)",2673,1407,280,220,766
"Sin nivel (021)",27,23,2,,2
"Educación inicial (022)",1,1,,,
"Primaria (023)",326,260,30,22,14
"Secundaria (024)",1391,762,167,109,353
"Superior no univ. incompleta (025)",285,149,26,24,86
"Superior no univ. completa (026)",396,132,34,34,196
"Superior univ. incompleta (027)",90,41,8,13,28
"Superior univ. completa (028)",157,39,13,18,87
"De 30 a 44 años (030)",3106,1589,280,256,981
"Sin nivel (031)",156,134,10,5,7
"Educación inicial (032)",1,1,,,
"Primaria (033)",689,470,68,34,117
"Secundaria (034)",1192,572,113,71,436
"Superior no univ. incompleta (035)",231,112,17,17,85
"Superior no univ. completa (036)",430,161,36,56,177
"Superior univ. incompleta (037)",123,46,13,10,54
"Superior univ. completa (038)",284,93,23,63,105
"De 45 a 64 años (040)",1962,1362,151,157,292
"Sin nivel (041)",262,239,18,3,2
"Primaria (043)",698,545,62,29,62
"Secundaria (044)",467,287,38,41,101
"Superior no univ. incompleta (045)",91,67,1,11,12
"Superior no univ. completa (046)",170,99,12,15,44
"Superior univ. incompleta (047)",75,44,5,9,17
"Superior univ. completa (048)",199,81,15,49,54
"De 65 y más años (050)",597,543,46,5,3
"Sin nivel (051)",175,154,20,1,
"Primaria (053)",295,273,19,2,1
"Secundaria (054)",54,48,5,1,
"Superior no univ. incompleta (055)",10,10,,,
"Superior no univ. completa (056)",29,27,1,1,
"Superior univ. incompleta (057)",10,10,,,
"Superior univ. completa (058)",24,21,1,,2
,,,,,
"URBANA (060)",3219,1932,312,407,568
"Sin nivel (061)",217,181,20,7,9
"Primaria (063)",675,500,69,49,57
