"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia PAUCAR DEL SARA SARA (000)",4500,3735,765
"De 3 a 5 años (001)",719,76,643
"De 6 a 11 años (002)",1393,1300,93
"De 12 a 16 años (003)",1178,1172,6
"De 17 a 24 años (004)",1210,1187,23
"Hombres (005)",2329,1956,373
"De 3 a 5 años (006)",359,45,314
"De 6 a 11 años (007)",705,657,48
"De 12 a 16 años (008)",593,592,1
"De 17 a 24 años (009)",672,662,10
"Mujeres (010)",2171,1779,392
"De 3 a 5 años (011)",360,31,329
"De 6 a 11 años (012)",688,643,45
"De 12 a 16 años (013)",585,580,5
"De 17 a 24 años (014)",538,525,13
,,,
"URBANA (015)",3070,2576,494
"De 3 a 5 años (016)",482,59,423
"De 6 a 11 años (017)",937,876,61
"De 12 a 16 años (018)",828,825,3
"De 17 a 24 años (019)",823,816,7
"Hombres (020)",1576,1328,248
"De 3 a 5 años (021)",249,38,211
"De 6 a 11 años (022)",469,438,31
"De 12 a 16 años (023)",415,414,1
"De 17 a 24 años (024)",443,438,5
"Mujeres (025)",1494,1248,246
"De 3 a 5 años (026)",233,21,212
"De 6 a 11 años (027)",468,438,30
"De 12 a 16 años (028)",413,411,2
"De 17 a 24 años (029)",380,378,2
,,,
"RURAL (030)",1430,1159,271
"De 3 a 5 años (031)",237,17,220
"De 6 a 11 años (032)",456,424,32
"De 12 a 16 años (033)",350,347,3
"De 17 a 24 años (034)",387,371,16
"Hombres (035)",753,628,125
"De 3 a 5 años (036)",110,7,103
"De 6 a 11 años (037)",236,219,17
"De 12 a 16 años (038)",178,178,
"De 17 a 24 años (039)",229,224,5
"Mujeres (040)",677,531,146
"De 3 a 5 años (041)",127,10,117
"De 6 a 11 años (042)",220,205,15
"De 12 a 16 años (043)",172,169,3
"De 17 a 24 años (044)",158,147,11
