"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia MOYOBAMBA",,,,,,,,,
"Viviendas particulares (001)",879,302,195,82,132,19,38,14,97
"Ocupantes presentes (002)",3835,1302,830,328,603,84,183,70,435
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",783,253,179,77,118,19,36,14,87
"Ocupantes presentes (005)",3554,1156,775,311,571,84,180,70,407
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",5,1,2,1,1,,,,
"Ocupantes presentes (008)",17,4,8,3,2,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",77,43,9,2,11,,2,,10
"Ocupantes presentes (011)",216,129,24,7,25,,3,,28
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",9,1,4,2,2,,,,
"Ocupantes presentes (014)",37,3,22,7,5,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1,,1,,,,,,
"Ocupantes presentes (017)",1,,1,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,2,,,,,,,
"Ocupantes presentes (020)",7,7,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",2,2,,,,,,,
"Ocupantes presentes (023)",3,3,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",753,239,154,76,124,17,38,14,91
"Ocupantes presentes (029)",3273,991,670,305,566,78,183,70,410
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",659,191,139,71,110,17,36,14,81
"Ocupantes presentes (032)",2995,847,616,288,534,78,180,70,382
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",5,1,2,1,1,,,,
"Ocupantes presentes (035)",17,4,8,3,2,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",77,43,9,2,11,,2,,10
"Ocupantes presentes (038)",216,129,24,7,25,,3,,28
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",9,1,4,2,2,,,,
"Ocupantes presentes (041)",37,3,22,7,5,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,2,,,,,,,
"Ocupantes presentes (047)",7,7,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,1,,,,,,,
"Ocupantes presentes (050)",1,1,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",126,63,41,6,8,2,,,6
"Ocupantes presentes (056)",562,311,160,23,37,6,,,25
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",124,62,40,6,8,2,,,6
"Ocupantes presentes (059)",559,309,159,23,37,6,,,25
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1,,1,,,,,,
"Ocupantes presentes (071)",1,,1,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,1,,,,,,,
"Ocupantes presentes (077)",2,2,,,,,,,
"Otro tipo",,,,,,,,,
