"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia TARATA (000)",3876,3607,2717,483,407,269,6,46,172,45
"Casa independiente (001)",3654,3432,2605,451,376,222,6,46,135,35
"Vivienda en casa de vecindad (004)",64,61,59,1,1,3,,,2,1
"Choza o cabaña (005)",88,83,46,13,24,5,,,2,3
"Vivienda improvisada (006)",66,27,3,18,6,39,,,33,6
"Local no dest.para hab. humana (007)",3,3,3,,,,,,,
"Otro tipo (008)",1,1,1,,,,,,,
,,,,,,,,,,
"URBANA (009)",2641,2459,2062,273,124,182,4,30,129,19
"Casa independiente (010)",2508,2368,1997,254,117,140,4,30,94,12
"Vivienda en casa de vecindad (013)",64,61,59,1,1,3,,,2,1
"Vivienda improvisada (015)",66,27,3,18,6,39,,,33,6
"Local no dest.para hab. humana (016)",2,2,2,,,,,,,
"Otro tipo (017)",1,1,1,,,,,,,
,,,,,,,,,,
"RURAL (018)",1235,1148,655,210,283,87,2,16,43,26
"Casa independiente (019)",1146,1064,608,197,259,82,2,16,41,23
"Choza o cabaña (023)",88,83,46,13,24,5,,,2,3
"Local no dest.para hab. humana (025)",1,1,1,,,,,,,
