"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia YAROWILCA (000)",11315,11049,3630,1118,941,784,1538,1267,1771,266
"Católica (001)",9736,9490,3215,1002,827,666,1287,1046,1447,246
"Cristiana/Evangélica (002)",1535,1516,401,106,111,114,247,219,318,19
"Otra (003)",27,27,7,4,2,3,3,2,6,
"Ninguna (004)",17,16,7,6,1,1,1,,,1
,,,,,,,,,,
"URBANA (006)",2786,2682,888,323,300,226,379,264,302,104
"Católica (007)",2346,2250,774,279,264,185,308,208,232,96
"Cristiana/Evangélica (008)",419,412,110,37,35,38,69,55,68,7
"Otra (009)",13,13,2,4,1,2,1,1,2,
"Ninguna (010)",8,7,2,3,,1,1,,,1
,,,,,,,,,,
"RURAL (012)",8529,8367,2742,795,641,558,1159,1003,1469,162
"Católica (013)",7390,7240,2441,723,563,481,979,838,1215,150
"Cristiana/Evangélica (014)",1116,1104,291,69,76,76,178,164,250,12
"Otra (015)",14,14,5,,1,1,2,1,4,
"Ninguna (016)",9,9,5,3,1,,,,,
