"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia UTCUBAMBA (000)",1248,1243,5
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",89,89,
"Casa pensión (003)",15,15,
"Hospital, clinica (004)",47,47,
"Cárcel, centro de readaptación social (005)",197,197,
"Otro (008)",867,862,5
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",33,33,
