"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia REQUENA (000)",22044,2653,2738,10847,396,3989,590,831
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",63,61,,,2,,,
"Profes., científicos e intelectuales (002)",1527,1441,,75,4,7,,
"Técnicos de nivel medio y trab. asimilados (003)",238,161,,62,11,4,,
"Jefes y empleados de oficina (004)",343,337,,5,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1706,190,43,1190,56,227,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",8240,,11,7945,268,16,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",612,,215,359,25,13,,
"Obreros construc.,conf.,papel, fab., instr. (008)",626,53,216,334,17,6,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",7173,239,2081,589,5,3669,590,
"Otra (010)",56,56,,,,,,
"Ocupaciñn no especificada (011)",629,115,172,288,8,46,,
"Desocupado (012)",831,,,,,,,831
"Hombres (013)",15473,1624,2272,8551,323,2035,62,606
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",50,48,,,2,,,
"Profes., científicos e intelectuales (015)",845,799,,40,3,3,,
"Técnicos de nivel medio y trab. asimilados (016)",167,106,,49,9,3,,
"Jefes y empleados de oficina (017)",238,235,,3,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",769,111,6,559,34,59,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",7217,,10,6958,235,14,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",508,,203,279,18,8,,
"Obreros construc.,conf.,papel, fab., instr. (021)",609,53,213,320,17,6,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",4075,153,1714,227,1,1918,62,
"Otra (023)",55,55,,,,,,
"Ocupaciñn no especificada (024)",334,64,126,116,4,24,,
"Desocupado (025)",606,,,,,,,606
"Mujeres (026)",6571,1029,466,2296,73,1954,528,225
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",13,13,,,,,,
"Profes., científicos e intelectuales (028)",682,642,,35,1,4,,
"Técnicos de nivel medio y trab. asimilados (029)",71,55,,13,2,1,,
"Jefes y empleados de oficina (030)",105,102,,2,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",937,79,37,631,22,168,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",1023,,1,987,33,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",104,,12,80,7,5,,
"Obreros construc.,conf.,papel, fab., instr. (034)",17,,3,14,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",3098,86,367,362,4,1751,528,
"Otra (036)",1,1,,,,,,
"Ocupaciñn no especificada (037)",295,51,46,172,4,22,,
"Desocupado (038)",225,,,,,,,225
,,,,,,,,
"URBANA (039)",12525,2267,1773,5645,233,1592,416,599
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",46,44,,,2,,,
"Profes., científicos e intelectuales (041)",1206,1130,,67,4,5,,
"Técnicos de nivel medio y trab. asimilados (042)",210,142,,54,10,4,,
"Jefes y empleados de oficina (043)",332,326,,5,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",1440,186,13,1002,48,191,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",3334,,7,3198,119,10,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",528,,176,319,22,11,,
"Obreros construc.,conf.,papel, fab., instr. (047)",583,52,198,311,16,6,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",3742,227,1225,546,4,1324,416,
"Otra (049)",56,56,,,,,,
"Ocupaciñn no especificada (050)",449,104,154,143,8,40,,
"Desocupado (051)",599,,,,,,,599
"Hombres (052)",8393,1365,1510,4060,175,812,39,432
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",35,33,,,2,,,
"Profes., científicos e intelectuales (054)",635,595,,34,3,3,,
"Técnicos de nivel medio y trab. asimilados (055)",149,95,,43,8,3,,
"Jefes y empleados de oficina (056)",228,225,,3,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",612,108,5,426,27,46,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",2860,,6,2745,99,10,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",433,,168,243,15,7,,
"Obreros construc.,conf.,papel, fab., instr. (060)",569,52,196,299,16,6,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",2117,143,1019,202,1,713,39,
"Otra (062)",55,55,,,,,,
"Ocupaciñn no especificada (063)",268,59,116,65,4,24,,
"Desocupado (064)",432,,,,,,,432
"Mujeres (065)",4132,902,263,1585,58,780,377,167
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",11,11,,,,,,
"Profes., científicos e intelectuales (067)",571,535,,33,1,2,,
"Técnicos de nivel medio y trab. asimilados (068)",61,47,,11,2,1,,
"Jefes y empleados de oficina (069)",104,101,,2,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",828,78,8,576,21,145,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",474,,1,453,20,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",95,,8,76,7,4,,
"Obreros construc.,conf.,papel, fab., instr. (073)",14,,2,12,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",1625,84,206,344,3,611,377,
"Otra (075)",1,1,,,,,,
"Ocupaciñn no especificada (076)",181,45,38,78,4,16,,
"Desocupado (077)",167,,,,,,,167
,,,,,,,,
"RURAL (078)",9519,386,965,5202,163,2397,174,232
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",17,17,,,,,,
"Profes., científicos e intelectuales (080)",321,311,,8,,2,,
"Técnicos de nivel medio y trab. asimilados (081)",28,19,,8,1,,,
"Jefes y empleados de oficina (082)",11,11,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",266,4,30,188,8,36,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",4906,,4,4747,149,6,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",84,,39,40,3,2,,
"Obreros construc.,conf.,papel, fab., instr. (086)",43,1,18,23,1,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",3431,12,856,43,1,2345,174,
"Ocupaciñn no especificada (089)",180,11,18,145,,6,,
"Desocupado (090)",232,,,,,,,232
"Hombres (091)",7080,259,762,4491,148,1223,23,174
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",15,15,,,,,,
"Profes., científicos e intelectuales (093)",210,204,,6,,,,
"Técnicos de nivel medio y trab. asimilados (094)",18,11,,6,1,,,
"Jefes y empleados de oficina (095)",10,10,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",157,3,1,133,7,13,,
