"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUAURA (000)",194738,3166,50956,53136,39691,31948,15841
"Casa independiente (001)",179767,2877,46904,48805,36514,29648,15019
"Departamento en edificio (002)",3742,66,920,1013,931,623,189
"Vivienda en quinta (003)",3876,52,922,1086,777,732,307
"Vivienda en casa de vecindad (004)",2869,56,773,857,664,366,153
"Choza o cabaña (005)",1611,36,489,427,274,273,112
"Vivienda improvisada (006)",2605,71,896,853,480,259,46
"Local no destinado para hab.humana (007)",262,8,51,92,49,47,15
"Otro tipo (008)",6,,1,3,2,,
,,,,,,,
"URBANA (009)",168150,2687,43439,45845,34698,27749,13732
"Casa independiente (010)",154831,2435,39889,41957,31801,25726,13023
"Departamento en edificio (011)",3742,66,920,1013,931,623,189
"Vivienda en quinta (012)",3876,52,922,1086,777,732,307
"Vivienda en casa de vecindad (013)",2869,56,773,857,664,366,153
"Vivienda improvisada (015)",2605,71,896,853,480,259,46
"Local no destinado para hab.humana (016)",221,7,38,76,43,43,14
"Otro tipo (017)",6,,1,3,2,,
,,,,,,,
"RURAL (018)",26588,479,7517,7291,4993,4199,2109
"Casa independiente (019)",24936,442,7015,6848,4713,3922,1996
"Choza o cabaña (023)",1611,36,489,427,274,273,112
"Local no destinado para hab.humana (025)",41,1,13,16,6,4,1
