"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia TAHUAMANU (000)",141,41,100
"De 14 a 29 años (001)",90,32,58
"De 30 a 44 años (002)",39,9,30
"De 45 a 64 años (003)",12,,12
"Hombres (005)",99,26,73
"De 14 a 29 años (006)",62,22,40
"De 30 a 44 años (007)",26,4,22
"De 45 a 64 años (008)",11,,11
"Mujeres (010)",42,15,27
"De 14 a 29 años (011)",28,10,18
"De 30 a 44 años (012)",13,5,8
"De 45 a 64 años (013)",1,,1
,,,
"AREA URBANA (015)",128,39,89
"De 14 a 29 años (016)",83,31,52
"De 30 a 44 años (017)",35,8,27
"De 45 a 64 años (018)",10,,10
"Hombres (020)",89,25,64
"De 14 a 29 años (021)",56,21,35
"De 30 a 44 años (022)",23,4,19
"De 45 a 64 años (023)",10,,10
"Mujeres (025)",39,14,25
"De 14 a 29 años (026)",27,10,17
"De 30 a 44 años (027)",12,4,8
,,,
"AREA RURAL (030)",13,2,11
"De 14 a 29 años (031)",7,1,6
"De 30 a 44 años (032)",4,1,3
"De 45 a 64 años (033)",2,,2
"Hombres (035)",10,1,9
"De 14 a 29 años (036)",6,1,5
"De 30 a 44 años (037)",3,,3
"De 45 a 64 años (038)",1,,1
"Mujeres (040)",3,1,2
"De 14 a 29 años (041)",1,,1
"De 30 a 44 años (042)",1,1,
"De 45 a 64 años (043)",1,,1
