"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUARAZ (000)",58335,56474,18506,8620,8625,6206,7244,3871,3402,1861
"Católica (001)",52111,50477,16475,7840,7816,5552,6419,3398,2977,1634
"Cristiana/Evangélica (002)",4785,4625,1433,569,615,521,680,429,378,160
"Otra (003)",884,842,328,133,122,94,101,30,34,42
"Ninguna (004)",555,530,270,78,72,39,44,14,13,25
,,,,,,,,,,
"URBANA (006)",44182,42673,14588,6937,6959,4805,5141,2382,1861,1509
"Católica (007)",39324,38006,12900,6294,6278,4289,4547,2079,1619,1318
"Cristiana/Evangélica (008)",3520,3394,1124,445,501,390,462,266,206,126
"Otra (009)",816,775,305,127,112,88,92,25,26,41
"Ninguna (010)",522,498,259,71,68,38,40,12,10,24
,,,,,,,,,,
"RURAL (012)",14153,13801,3918,1683,1666,1401,2103,1489,1541,352
"Católica (013)",12787,12471,3575,1546,1538,1263,1872,1319,1358,316
"Cristiana/Evangélica (014)",1265,1231,309,124,114,131,218,163,172,34
"Otra (015)",68,67,23,6,10,6,9,5,8,1
"Ninguna (016)",33,32,11,7,4,1,4,2,3,1
