"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia MOHO (000)",7783,94,302,763,1106,1481,2029,2008
"De 12 a 14 años (001)",11,,,,,,,11
"De 15 a 19 años (002)",143,,,,,,79,64
"De 20 a 24 años (003)",459,,,,,,283,176
"De 25 a 29 años (004)",662,,,,,14,445,203
"De 30 a 34 años (005)",693,,,,,98,420,175
"De 35 a 39 años (006)",722,,,,5,215,362,140
"De 40 a 44 años (007)",697,,,,26,255,284,132
"De 45 a 49 años (008)",602,,,,77,298,124,103
"De 50 y más años (009)",3794,94,302,763,998,601,32,1004
"PEA (010)",4151,22,106,347,629,882,1143,1022
"De 12 a 14 años (011)",2,,,,,,,2
"De 15 a 19 años (012)",71,,,,,,45,26
"De 20 a 24 años (013)",243,,,,,,154,89
"De 25 a 29 años (014)",351,,,,,7,237,107
"De 30 a 34 años (015)",411,,,,,54,244,113
"De 35 a 39 años (016)",430,,,,2,139,216,73
"De 40 a 44 años (017)",411,,,,16,160,159,76
"De 45 a 49 años (018)",358,,,,46,184,70,58
"De 50 y más años (019)",1874,22,106,347,565,338,18,478
"Ocupada (020)",4102,22,106,343,628,875,1123,1005
"De 12 a 14 años (021)",2,,,,,,,2
"De 15 a 19 años (022)",70,,,,,,44,26
"De 20 a 24 años (023)",234,,,,,,148,86
"De 25 a 29 años (024)",344,,,,,7,233,104
"De 30 a 34 años (025)",404,,,,,52,241,111
"De 35 a 39 años (026)",424,,,,2,137,213,72
"De 40 a 44 años (027)",408,,,,16,159,158,75
"De 45 a 49 años (028)",353,,,,46,183,68,56
"De 50 y más años (029)",1863,22,106,343,564,337,18,473
"Desocupada (030)",49,,,4,1,7,20,17
"De 15 a 19 años (032)",1,,,,,,1,
"De 20 a 24 años (033)",9,,,,,,6,3
"De 25 a 29 años (034)",7,,,,,,4,3
"De 30 a 34 años (035)",7,,,,,2,3,2
"De 35 a 39 años (036)",6,,,,,2,3,1
"De 40 a 44 años (037)",3,,,,,1,1,1
"De 45 a 49 años (038)",5,,,,,1,2,2
"De 50 y más años (039)",11,,,4,1,1,,5
"No PEA (040)",3632,72,196,416,477,599,886,986
"De 12 a 14 años (041)",9,,,,,,,9
"De 15 a 19 años (042)",72,,,,,,34,38
"De 20 a 24 años (043)",216,,,,,,129,87
"De 25 a 29 años (044)",311,,,,,7,208,96
"De 30 a 34 años (045)",282,,,,,44,176,62
"De 35 a 39 años (046)",292,,,,3,76,146,67
"De 40 a 44 años (047)",286,,,,10,95,125,56
"De 45 a 49 años (048)",244,,,,31,114,54,45
"De 50 y más años (049)",1920,72,196,416,433,263,14,526
