"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia TACNA (000)",110633,96065,14568
"De 3 a 5 años (001)",14011,1416,12595
"De 6 a 11 años (002)",27971,26267,1704
"De 12 a 16 años (003)",25664,25569,95
"De 17 a 24 años (004)",42987,42813,174
"Hombres (005)",55739,48265,7474
"De 3 a 5 años (006)",7182,701,6481
"De 6 a 11 años (007)",14328,13467,861
"De 12 a 16 años (008)",12924,12870,54
"De 17 a 24 años (009)",21305,21227,78
"Mujeres (010)",54894,47800,7094
"De 3 a 5 años (011)",6829,715,6114
"De 6 a 11 años (012)",13643,12800,843
"De 12 a 16 años (013)",12740,12699,41
"De 17 a 24 años (014)",21682,21586,96
,,,
"URBANA (015)",104024,90395,13629
"De 3 a 5 años (016)",13100,1306,11794
"De 6 a 11 años (017)",26367,24769,1598
"De 12 a 16 años (018)",24177,24089,88
"De 17 a 24 años (019)",40380,40231,149
"Hombres (020)",52168,45184,6984
"De 3 a 5 años (021)",6709,646,6063
"De 6 a 11 años (022)",13502,12696,806
"De 12 a 16 años (023)",12133,12084,49
"De 17 a 24 años (024)",19824,19758,66
"Mujeres (025)",51856,45211,6645
"De 3 a 5 años (026)",6391,660,5731
"De 6 a 11 años (027)",12865,12073,792
"De 12 a 16 años (028)",12044,12005,39
"De 17 a 24 años (029)",20556,20473,83
,,,
"RURAL (030)",6609,5670,939
"De 3 a 5 años (031)",911,110,801
"De 6 a 11 años (032)",1604,1498,106
"De 12 a 16 años (033)",1487,1480,7
"De 17 a 24 años (034)",2607,2582,25
"Hombres (035)",3571,3081,490
"De 3 a 5 años (036)",473,55,418
"De 6 a 11 años (037)",826,771,55
"De 12 a 16 años (038)",791,786,5
"De 17 a 24 años (039)",1481,1469,12
"Mujeres (040)",3038,2589,449
"De 3 a 5 años (041)",438,55,383
"De 6 a 11 años (042)",778,727,51
"De 12 a 16 años (043)",696,694,2
"De 17 a 24 años (044)",1126,1113,13
