"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia VIRU (000)",19197,75,240,660,1623,3483,7668,5448
"De 12 a 14 años (001)",44,,,,,,7,37
"De 15 a 19 años (002)",939,,,,,,528,411
"De 20 a 24 años (003)",3128,,,,,8,1803,1317
"De 25 a 29 años (004)",3139,,,,,175,2013,951
"De 30 a 34 años (005)",2551,,,,,434,1487,630
"De 35 a 39 años (006)",2195,,,,24,696,1040,435
"De 40 a 44 años (007)",1756,,,,118,760,520,358
"De 45 a 49 años (008)",1363,,,9,209,649,229,267
"De 50 y más años (009)",4082,75,240,651,1272,761,41,1042
"PEA (010)",6748,4,26,108,405,1424,2656,2125
"De 12 a 14 años (011)",5,,,,,,1,4
"De 15 a 19 años (012)",206,,,,,,118,88
"De 20 a 24 años (013)",1181,,,,,3,586,592
"De 25 a 29 años (014)",1317,,,,,89,767,461
"De 30 a 34 años (015)",1050,,,,,214,546,290
"De 35 a 39 años (016)",888,,,,6,311,379,192
"De 40 a 44 años (017)",715,,,,49,331,174,161
"De 45 a 49 años (018)",504,,,3,72,241,74,114
"De 50 y más años (019)",882,4,26,105,278,235,11,223
"Ocupada (020)",6617,4,25,108,394,1403,2610,2073
"De 12 a 14 años (021)",5,,,,,,1,4
"De 15 a 19 años (022)",196,,,,,,115,81
"De 20 a 24 años (023)",1145,,,,,3,566,576
"De 25 a 29 años (024)",1292,,,,,87,756,449
"De 30 a 34 años (025)",1034,,,,,211,536,287
"De 35 a 39 años (026)",879,,,,6,308,377,188
"De 40 a 44 años (027)",704,,,,47,326,174,157
"De 45 a 49 años (028)",494,,,3,69,237,74,111
"De 50 y más años (029)",868,4,25,105,272,231,11,220
"Desocupada (030)",131,,1,,11,21,46,52
"De 15 a 19 años (032)",10,,,,,,3,7
"De 20 a 24 años (033)",36,,,,,,20,16
"De 25 a 29 años (034)",25,,,,,2,11,12
"De 30 a 34 años (035)",16,,,,,3,10,3
"De 35 a 39 años (036)",9,,,,,3,2,4
"De 40 a 44 años (037)",11,,,,2,5,,4
"De 45 a 49 años (038)",10,,,,3,4,,3
"De 50 y más años (039)",14,,1,,6,4,,3
"No PEA (040)",12449,71,214,552,1218,2059,5012,3323
"De 12 a 14 años (041)",39,,,,,,6,33
"De 15 a 19 años (042)",733,,,,,,410,323
"De 20 a 24 años (043)",1947,,,,,5,1217,725
"De 25 a 29 años (044)",1822,,,,,86,1246,490
"De 30 a 34 años (045)",1501,,,,,220,941,340
"De 35 a 39 años (046)",1307,,,,18,385,661,243
"De 40 a 44 años (047)",1041,,,,69,429,346,197
