"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia MARISCAL NIETO (000)",22953,71151,19547,61771,3406,9380
"Casa independiente (001)",20022,63701,17559,56647,2463,7054
"Departamento en edificio (002)",219,684,219,684,,
"Vivienda en quinta (003)",63,219,63,219,,
"Vivienda en casa de vecindad (004)",66,207,66,207,,
"Choza o cabaña (005)",932,2311,,,932,2311
"Vivienda improvisada (006)",1609,3951,1609,3951,,
"Local no dest.para hab. humana (007)",26,58,26,58,,
"Otro tipo (008)",16,20,5,5,11,15
