"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUAYTARA (000)",6057,5847,15,960,903,851,1394,971,587,166,210,24471
"De 12 a 14 años (001)",7,4,,3,1,,,,,,3,5
"De 15 a 19 años (002)",144,127,2,109,14,1,1,,,,17,144
"De 20 a 24 años (003)",570,509,,283,162,47,13,4,,,61,829
"De 25 a 29 años (004)",579,532,3,171,170,111,70,5,2,,47,1182
"De 30 a 34 años (005)",634,607,,88,120,170,187,38,4,,27,1943
"De 35 a 39 años (006)",625,606,,64,112,122,191,93,23,1,19,2295
"De 40 a 44 años (007)",555,543,2,39,67,92,165,102,70,6,12,2496
"De 45 a 49 años (008)",504,498,1,35,58,60,126,121,77,20,6,2534
"De 50 y más años (009)",2439,2421,7,168,199,248,641,608,411,139,18,13043
"PEA (010)",2001,1906,3,357,344,278,421,258,193,52,95,7575
"De 12 a 14 años (011)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (012)",32,28,,23,5,,,,,,4,33
"De 20 a 24 años (013)",171,147,,93,35,12,6,1,,,24,232
"De 25 a 29 años (014)",202,175,1,63,53,34,19,3,2,,27,385
"De 30 a 34 años (015)",230,212,,48,55,46,54,8,1,,18,592
"De 35 a 39 años (016)",270,258,,43,61,53,67,28,6,,12,847
"De 40 a 44 años (017)",221,217,1,16,44,43,62,27,23,1,4,885
"De 45 a 49 años (018)",192,191,,18,29,20,50,44,23,7,1,909
"De 50 y más años (019)",681,677,1,52,62,70,163,147,138,44,4,3691
"Ocupada (020)",1955,1865,3,351,334,275,411,251,189,51,90,7409
"De 12 a 14 años (021)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (022)",31,27,,22,5,,,,,,4,32
