"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SATIPO (000)",175633,28537,4549,75356,56275,3150,2543,1930,3293
"Jefe o Jefa (001)",42437,4640,29,18022,15346,916,1087,645,1752
"Esposa(o)/ compa¤era(o) (002)",28746,5303,58,12950,8533,425,568,261,648
"Hijo(a)/ hijastro(a) (003)",74747,13527,3708,33091,21347,1327,571,748,428
"Yerno/ nuera (004)",1974,69,2,474,1233,80,44,27,45
"Nieto(a) (005)",5023,1404,400,2276,879,32,6,16,10
"Padres/ suegros (006)",1859,1019,,641,167,4,7,5,16
"Otro(a) pariente (007)",14669,1947,313,5821,5894,233,145,149,167
"Trabajador(a) del hogar (008)",334,58,1,108,149,10,1,3,4
"Pensionista (009)",143,8,,27,58,11,11,4,24
"Otro(a) no pariente (010)",5701,562,38,1946,2669,112,103,72,199
"Hombres (012)",93737,12529,2304,39568,33391,1710,1315,1074,1846
"Jefe o Jefa (013)",35006,3114,18,15190,13297,718,832,505,1332
"Esposa(o)/ compa¤era(o) (014)",1082,68,3,310,548,31,36,32,54
"Hijo(a)/ hijastro(a) (015)",40250,6981,1880,17384,12440,696,271,377,221
"Yerno/ nuera (016)",873,12,,200,565,37,19,10,30
"Nieto(a) (017)",2639,699,213,1177,522,15,2,7,4
"Padres/ suegros (018)",800,326,,359,99,1,4,5,6
"Otro(a) pariente (019)",8551,912,176,3388,3698,128,82,82,85
"Trabajador(a) del hogar (020)",56,7,,18,26,2,,1,2
"Pensionista (021)",107,5,,18,47,10,8,3,16
"Otro(a) no pariente (022)",4373,405,14,1524,2149,72,61,52,96
"Mujeres (024)",81896,16008,2245,35788,22884,1440,1228,856,1447
"Jefe o Jefa (025)",7431,1526,11,2832,2049,198,255,140,420
"Esposa(o)/ compa¤era(o) (026)",27664,5235,55,12640,7985,394,532,229,594
"Hijo(a)/ hijastro(a) (027)",34497,6546,1828,15707,8907,631,300,371,207
"Yerno/ nuera (028)",1101,57,2,274,668,43,25,17,15
"Nieto(a) (029)",2384,705,187,1099,357,17,4,9,6
"Padres/ suegros (030)",1059,693,,282,68,3,3,,10
"Otro(a) pariente (031)",6118,1035,137,2433,2196,105,63,67,82
"Trabajador(a) del hogar (032)",278,51,1,90,123,8,1,2,2
"Pensionista (033)",36,3,,9,11,1,3,1,8
"Otro(a) no pariente (034)",1328,157,24,422,520,40,42,20,103
,,,,,,,,,
"URBANA (036)",47882,4506,1370,15913,19129,1655,1693,1265,2351
"Jefe o Jefa (037)",12457,574,9,3648,5335,506,709,436,1240
"Esposa(o)/ compa¤era(o) (038)",7602,598,17,2458,3145,257,430,183,514
"Hijo(a)/ hijastro(a) (039)",19458,2360,1110,7287,6986,605,354,476,280
"Yerno/ nuera (040)",600,7,,88,385,44,26,15,35
"Nieto(a) (041)",1465,356,140,641,287,14,4,14,9
"Padres/ suegros (042)",615,245,,243,100,3,6,4,14
"Otro(a) pariente (043)",3894,286,75,1123,1968,141,99,96,106
