"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia CHINCHEROS",,,
"Viviendas particulares (001)",6560,5861,699
"Ocupantes presentes (002)",27472,24436,3036
"Casa independiente",,,
"Viviendas particulares (004)",6527,5829,698
"Ocupantes presentes (005)",27350,24319,3031
"Departamento en edificio",,,
"Viviendas particulares (007)",1,1,
"Ocupantes presentes (008)",6,6,
"Vivienda en quinta",,,
"Viviendas particulares (010)",1,1,
"Ocupantes presentes (011)",3,3,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",28,28,
"Ocupantes presentes (014)",100,100,
"Choza o cabaña",,,
"Viviendas particulares (016)",1,1,
"Ocupantes presentes (017)",6,6,
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",2,1,1
"Ocupantes presentes (023)",7,2,5
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",2615,2363,252
"Ocupantes presentes (029)",10647,9599,1048
"Casa independiente",,,
"Viviendas particulares (031)",2585,2333,252
"Ocupantes presentes (032)",10538,9490,1048
"Departamento en edificio",,,
"Viviendas particulares (034)",1,1,
"Ocupantes presentes (035)",6,6,
"Vivienda en quinta",,,
"Viviendas particulares (037)",1,1,
"Ocupantes presentes (038)",3,3,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",28,28,
"Ocupantes presentes (041)",100,100,
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",3945,3498,447
"Ocupantes presentes (056)",16825,14837,1988
"Casa independiente",,,
"Viviendas particulares (058)",3942,3496,446
"Ocupantes presentes (059)",16812,14829,1983
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",1,1,
"Ocupantes presentes (071)",6,6,
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",2,1,1
"Ocupantes presentes (077)",7,2,5
"Otro tipo",,,
