"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SUCRE (000)",3514,52,1537,981,297,96,59,24,6,,462
"Conviviente (001)",743,8,326,216,55,10,12,4,,,112
"Separado(a) (002)",125,3,46,39,17,10,1,,,,9
"Casado(a) (003)",1874,24,850,558,158,56,30,10,4,,184
"Viudo(a) (004)",557,15,256,127,48,11,8,7,2,,83
"Divorciado(a) (005)",8,,3,2,1,,,,,,2
"Soltero(a) (006)",207,2,56,39,18,9,8,3,,,72
,,,,,,,,,,,
"URBANA (008)",2105,31,905,607,191,64,41,15,1,,250
"Conviviente (009)",458,6,194,143,38,7,6,2,,,62
"Separado(a) (010)",84,2,29,29,11,7,1,,,,5
"Casado(a) (011)",1093,13,490,329,97,35,23,6,,,100
"Viudo(a) (012)",333,10,156,76,30,8,7,5,1,,40
"Divorciado(a) (013)",7,,2,2,1,,,,,,2
"Soltero(a) (014)",130,,34,28,14,7,4,2,,,41
,,,,,,,,,,,
"RURAL (016)",1409,21,632,374,106,32,18,9,5,,212
"Conviviente (017)",285,2,132,73,17,3,6,2,,,50
"Separado(a) (018)",41,1,17,10,6,3,,,,,4
"Casado(a) (019)",781,11,360,229,61,21,7,4,4,,84
"Viudo(a) (020)",224,5,100,51,18,3,1,2,1,,43
"Divorciado(a) (021)",1,,1,,,,,,,,
"Soltero(a) (022)",77,2,22,11,4,2,4,1,,,31
