"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia GRAN CHIMU (000)",13214,10678,2536
"De 3 a 5 años (001)",1904,126,1778
"De 6 a 11 años (002)",3939,3430,509
"De 12 a 16 años (003)",3385,3320,65
"De 17 a 24 años (004)",3986,3802,184
"Hombres (005)",6968,5677,1291
"De 3 a 5 años (006)",951,58,893
"De 6 a 11 años (007)",2026,1743,283
"De 12 a 16 años (008)",1733,1700,33
"De 17 a 24 años (009)",2258,2176,82
"Mujeres (010)",6246,5001,1245
"De 3 a 5 años (011)",953,68,885
"De 6 a 11 años (012)",1913,1687,226
"De 12 a 16 años (013)",1652,1620,32
"De 17 a 24 años (014)",1728,1626,102
,,,
"URBANA (015)",2760,2374,386
"De 3 a 5 años (016)",328,35,293
"De 6 a 11 años (017)",791,716,75
"De 12 a 16 años (018)",747,745,2
"De 17 a 24 años (019)",894,878,16
"Hombres (020)",1416,1209,207
"De 3 a 5 años (021)",184,23,161
"De 6 a 11 años (022)",398,355,43
"De 12 a 16 años (023)",371,371,
"De 17 a 24 años (024)",463,460,3
"Mujeres (025)",1344,1165,179
"De 3 a 5 años (026)",144,12,132
"De 6 a 11 años (027)",393,361,32
"De 12 a 16 años (028)",376,374,2
"De 17 a 24 años (029)",431,418,13
,,,
"RURAL (030)",10454,8304,2150
"De 3 a 5 años (031)",1576,91,1485
"De 6 a 11 años (032)",3148,2714,434
"De 12 a 16 años (033)",2638,2575,63
"De 17 a 24 años (034)",3092,2924,168
"Hombres (035)",5552,4468,1084
"De 3 a 5 años (036)",767,35,732
"De 6 a 11 años (037)",1628,1388,240
"De 12 a 16 años (038)",1362,1329,33
"De 17 a 24 años (039)",1795,1716,79
"Mujeres (040)",4902,3836,1066
"De 3 a 5 años (041)",809,56,753
"De 6 a 11 años (042)",1520,1326,194
"De 12 a 16 años (043)",1276,1246,30
"De 17 a 24 años (044)",1297,1208,89
