"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUANCAYO (000)",440937,17938,98519,95353,70916,57040,42747,28153,30271
"Quechua (001)",52904,498,4023,5616,6902,8672,8658,7759,10776
"Aymara (002)",286,8,22,36,33,54,48,47,38
"Ashaninca (003)",119,1,18,50,13,17,8,5,7
"Otra lengua nativa (004)",494,18,116,83,74,68,50,39,46
"Castellano (005)",386622,17389,94240,89469,63818,48158,33934,20262,19352
"Idioma extranjero (006)",84,3,9,25,20,15,6,4,2
"Es sordomudo/a (007)",428,21,91,74,56,56,43,37,50
"Hombres (009)",209737,9081,49943,46296,32453,25484,19194,13196,14090
"Quechua (010)",23202,241,2005,2660,3070,3707,3642,3462,4415
"Aymara (011)",131,2,11,16,11,24,24,24,19
"Ashaninca (012)",54,1,7,19,5,9,6,3,4
"Otra lengua nativa (013)",219,7,55,40,30,26,21,22,18
"Castellano (014)",185873,8812,47815,43515,29302,21680,15477,9664,9608
"Idioma extranjero (015)",38,1,4,13,9,4,4,2,1
"Es sordomudo/a (016)",220,17,46,33,26,34,20,19,25
"Mujeres (018)",231200,8857,48576,49057,38463,31556,23553,14957,16181
"Quechua (019)",29702,257,2018,2956,3832,4965,5016,4297,6361
"Aymara (020)",155,6,11,20,22,30,24,23,19
"Ashaninca (021)",65,,11,31,8,8,2,2,3
"Otra lengua nativa (022)",275,11,61,43,44,42,29,17,28
"Castellano (023)",200749,8577,46425,45954,34516,26478,18457,10598,9744
"Idioma extranjero (024)",46,2,5,12,11,11,2,2,1
"Es sordomudo/a (025)",208,4,45,41,30,22,23,18,25
,,,,,,,,,
"URBANA (027)",390029,15323,84747,85568,64107,51119,38229,24811,26125
"Quechua (028)",37970,112,1548,3719,4959,6499,6728,6061,8344
"Aymara (029)",270,7,19,36,30,53,44,45,36
"Ashaninca (030)",106,1,14,46,13,16,6,4,6
"Otra lengua nativa (031)",354,11,84,54,57,47,39,29,33
"Castellano (032)",350923,15172,82995,81626,58992,44451,31379,18645,17663
"Idioma extranjero (033)",84,3,9,25,20,15,6,4,2
"Es sordomudo/a (034)",322,17,78,62,36,38,27,23,41
"Hombres (036)",184931,7755,42936,41513,29179,22693,17039,11644,12172
"Quechua (037)",16170,51,766,1714,2121,2690,2763,2703,3362
"Aymara (038)",125,2,10,16,10,23,23,24,17
"Ashaninca (039)",45,1,4,15,5,8,5,3,4
"Otra lengua nativa (040)",153,4,38,27,19,18,16,17,14
"Castellano (041)",168251,7682,42077,39704,26997,19932,14218,8886,8755
"Idioma extranjero (042)",38,1,4,13,9,4,4,2,1
"Es sordomudo/a (043)",149,14,37,24,18,18,10,9,19
"Mujeres (045)",205098,7568,41811,44055,34928,28426,21190,13167,13953
"Quechua (046)",21800,61,782,2005,2838,3809,3965,3358,4982
"Aymara (047)",145,5,9,20,20,30,21,21,19
"Ashaninca (048)",61,,10,31,8,8,1,1,2
"Otra lengua nativa (049)",201,7,46,27,38,29,23,12,19
"Castellano (050)",182672,7490,40918,41922,31995,24519,17161,9759,8908
"Idioma extranjero (051)",46,2,5,12,11,11,2,2,1
"Es sordomudo/a (052)",173,3,41,38,18,20,17,14,22
,,,,,,,,,
"RURAL (054)",50908,2615,13772,9785,6809,5921,4518,3342,4146
"Quechua (055)",14934,386,2475,1897,1943,2173,1930,1698,2432
"Aymara (056)",16,1,3,,3,1,4,2,2
"Ashaninca (057)",13,,4,4,,1,2,1,1
"Otra lengua nativa (058)",140,7,32,29,17,21,11,10,13
"Castellano (059)",35699,2217,11245,7843,4826,3707,2555,1617,1689
"Es sordomudo/a (061)",106,4,13,12,20,18,16,14,9
"Hombres (063)",24806,1326,7007,4783,3274,2791,2155,1552,1918
"Quechua (064)",7032,190,1239,946,949,1017,879,759,1053
"Aymara (065)",6,,1,,1,1,1,,2
"Ashaninca (066)",9,,3,4,,1,1,,
"Otra lengua nativa (067)",66,3,17,13,11,8,5,5,4
"Castellano (068)",17622,1130,5738,3811,2305,1748,1259,778,853
"Es sordomudo/a (070)",71,3,9,9,8,16,10,10,6
"Mujeres (072)",26102,1289,6765,5002,3535,3130,2363,1790,2228
"Quechua (073)",7902,196,1236,951,994,1156,1051,939,1379
"Aymara (074)",10,1,2,,2,,3,2,
"Ashaninca (075)",4,,1,,,,1,1,1
"Otra lengua nativa (076)",74,4,15,16,6,13,6,5,9
"Castellano (077)",18077,1087,5507,4032,2521,1959,1296,839,836
"Es sordomudo/a (079)",35,1,4,3,12,2,6,4,3
