"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia MANU (000)",13161,11639,1522
"Hombres (001)",7978,7166,812
"Mujeres (002)",5183,4473,710
"De 18 a 29 años (003)",6153,5110,1043
"Hombres (004)",3500,2945,555
"Mujeres (005)",2653,2165,488
"De 30 a 44 años (006)",4729,4457,272
"Hombres (007)",2938,2790,148
"Mujeres (008)",1791,1667,124
"De 45 a 64 años (009)",1957,1833,124
"Hombres (010)",1334,1270,64
"Mujeres (011)",623,563,60
"De 65 y más años (012)",322,239,83
"Hombres (013)",206,161,45
"Mujeres (014)",116,78,38
,,,
"URBANA (015)",4290,3983,307
"Hombres (016)",2216,2097,119
"Mujeres (017)",2074,1886,188
"De 18 a 29 años (018)",1765,1553,212
"Hombres (019)",814,733,81
"Mujeres (020)",951,820,131
"De 30 a 44 años (021)",1725,1675,50
"Hombres (022)",901,883,18
"Mujeres (023)",824,792,32
"De 45 a 64 años (024)",695,665,30
"Hombres (025)",435,424,11
"Mujeres (026)",260,241,19
"De 65 y más años (027)",105,90,15
"Hombres (028)",66,57,9
"Mujeres (029)",39,33,6
,,,
"RURAL (030)",8871,7656,1215
"Hombres (031)",5762,5069,693
"Mujeres (032)",3109,2587,522
"De 18 a 29 años (033)",4388,3557,831
"Hombres (034)",2686,2212,474
"Mujeres (035)",1702,1345,357
"De 30 a 44 años (036)",3004,2782,222
"Hombres (037)",2037,1907,130
"Mujeres (038)",967,875,92
"De 45 a 64 años (039)",1262,1168,94
"Hombres (040)",899,846,53
"Mujeres (041)",363,322,41
"De 65 y más años (042)",217,149,68
"Hombres (043)",140,104,36
"Mujeres (044)",77,45,32
