"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia YAULI (000)",46980,2956,21451,1967,20997
"Quechua (001)",1826,51,896,115,778
"Aymara (002)",21,1,10,1,10
"Asháninka (003)",4,,2,,2
"Otra lengua nativa (004)",37,1,15,1,21
"Castellano (005)",45050,2898,20519,1849,20159
"Idioma Extranjero (006)",6,,2,1,3
"Es Sordomudo/a (007)",36,5,7,,24
"Hombres (009)",24943,1401,12273,1368,10184
"Quechua (010)",1015,27,582,76,341
"Aymara (011)",14,1,8,,6
"Asháninka (012)",4,,2,,2
"Otra lengua nativa (013)",21,,8,,13
"Castellano (014)",23863,1371,11667,1291,9805
"Idioma Extranjero (015)",5,,2,1,2
"Es Sordomudo/a (016)",21,2,4,,15
"Mujeres (018)",22037,1555,9178,599,10813
"Quechua (019)",811,24,314,39,437
"Aymara (020)",7,,2,1,4
"Otra lengua nativa (022)",16,1,7,1,8
"Castellano (023)",21187,1527,8852,558,10354
"Idioma Extranjero (024)",1,,,,1
"Es Sordomudo/a (025)",15,3,3,,9
,,,,,
"URBANA (027)",41303,2617,19806,1728,17456
"Quechua (028)",1636,47,822,105,672
"Aymara (029)",20,1,10,1,9
"Asháninka (030)",3,,1,,2
"Otra lengua nativa (031)",35,1,13,1,21
"Castellano (032)",39574,2564,18952,1620,16730
"Idioma Extranjero (033)",6,,2,1,3
"Es Sordomudo/a (034)",29,4,6,,19
"Hombres (036)",21633,1228,11067,1159,8376
"Quechua (037)",895,26,521,67,289
"Aymara (038)",13,1,8,,5
"Asháninka (039)",3,,1,,2
"Otra lengua nativa (040)",19,,6,,13
"Castellano (041)",20680,1199,10525,1091,8053
"Idioma Extranjero (042)",5,,2,1,2
"Es Sordomudo/a (043)",18,2,4,,12
"Mujeres (045)",19670,1389,8739,569,9080
"Quechua (046)",741,21,301,38,383
"Aymara (047)",7,,2,1,4
"Otra lengua nativa (049)",16,1,7,1,8
"Castellano (050)",18894,1365,8427,529,8677
"Idioma Extranjero (051)",1,,,,1
"Es Sordomudo/a (052)",11,2,2,,7
,,,,,
"RURAL (054)",5677,339,1645,239,3541
"Quechua (055)",190,4,74,10,106
"Aymara (056)",1,,,,1
"Asháninka (057)",1,,1,,
"Otra lengua nativa (058)",2,,2,,
"Castellano (059)",5476,334,1567,229,3429
"Es Sordomudo/a (061)",7,1,1,,5
"Hombres (063)",3310,173,1206,209,1808
"Quechua (064)",120,1,61,9,52
"Aymara (065)",1,,,,1
"Asháninka (066)",1,,1,,
"Otra lengua nativa (067)",2,,2,,
"Castellano (068)",3183,172,1142,200,1752
"Es Sordomudo/a (070)",3,,,,3
"Mujeres (072)",2367,166,439,30,1733
"Quechua (073)",70,3,13,1,54
"Castellano (077)",2293,162,425,29,1677
"Es Sordomudo/a (079)",4,1,1,,2
