"CUADRO Nº 23: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CASTILLA (000)",16479,2293,6868,5364,361,1373,220
"Agric., ganadería, caza y silvicultura (001)",8063,37,3902,2846,247,1031,
"Pesca (002)",240,,92,94,,54,
"Explotación de minas y canteras (003)",1673,299,1331,40,3,,
"Industrias manufactureras (004)",489,26,222,210,12,19,
"Suministro de electricidad, gas y agua (005)",43,14,27,2,,,
"Construcción (006)",859,53,654,140,6,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1563,171,62,1146,39,145,
"Venta, mant.y rep. veh.autom.y motoc. (008)",146,28,47,60,8,3,
"Comercio al por mayor (009)",60,11,3,43,,3,
"Comercio al por menor (010)",1357,132,12,1043,31,139,
"Hoteles y restaurantes (011)",527,124,84,257,27,35,
"Trans., almac. y comunicaciones (012)",597,125,151,303,7,11,
"Intermediación financiera (013)",16,16,,,,,
"Activid.inmobil., empres. y alquileres (014)",310,194,63,45,6,2,
"Admin.pub. y defensa; p. segur.soc.afil (015)",536,387,149,,,,
"Enseñanza (016)",592,545,1,45,1,,
"Servicios sociales y de salud (017)",197,179,2,15,1,,
"Otras activ. serv.comun.soc y personales (018)",295,79,87,111,4,14,
"Hogares privados con servicio doméstico (019)",220,,,,,,220
"Actividad economica no especificada (021)",259,44,41,110,8,56,
"Hombres (022)",11486,1308,5567,3689,277,623,22
"Agric., ganadería, caza y silvicultura (023)",5882,34,2785,2354,213,496,
"Pesca (024)",235,,91,92,,52,
"Explotación de minas y canteras (025)",1633,268,1324,38,3,,
"Industrias manufactureras (026)",373,15,202,135,10,11,
"Suministro de electricidad, gas y agua (027)",43,14,27,2,,,
"Construcción (028)",840,52,636,140,6,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",651,86,62,460,19,24,
"Venta, mant.y rep. veh.autom.y motoc. (030)",141,25,47,59,7,3,
"Comercio al por mayor (031)",34,7,3,24,,,
"Comercio al por menor (032)",476,54,12,377,12,21,
"Hoteles y restaurantes (033)",154,35,48,50,8,13,
"Trans., almac. y comunicaciones (034)",520,92,135,282,6,5,
"Intermediación financiera (035)",9,9,,,,,
"Activid.inmobil., empres. y alquileres (036)",233,139,58,30,4,2,
"Admin.pub. y defensa; p. segur.soc.afil (037)",359,257,102,,,,
"Enseñanza (038)",200,184,1,14,1,,
"Servicios sociales y de salud (039)",80,66,2,11,1,,
"Otras activ. serv.comun.soc y personales (040)",167,45,72,42,1,7,
"Hogares privados con servicio doméstico (041)",22,,,,,,22
"Actividad economica no especificada (043)",85,12,22,39,5,7,
"Mujeres (044)",4993,985,1301,1675,84,750,198
"Agric., ganadería, caza y silvicultura (045)",2181,3,1117,492,34,535,
"Pesca (046)",5,,1,2,,2,
"Explotación de minas y canteras (047)",40,31,7,2,,,
"Industrias manufactureras (048)",116,11,20,75,2,8,
"Construcción (050)",19,1,18,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",912,85,,686,20,121,
"Venta, mant.y rep. veh.autom.y motoc. (052)",5,3,,1,1,,
"Comercio al por mayor (053)",26,4,,19,,3,
"Comercio al por menor (054)",881,78,,666,19,118,
"Hoteles y restaurantes (055)",373,89,36,207,19,22,
"Trans., almac. y comunicaciones (056)",77,33,16,21,1,6,
"Intermediación financiera (057)",7,7,,,,,
"Activid.inmobil., empres. y alquileres (058)",77,55,5,15,2,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",177,130,47,,,,
"Enseñanza (060)",392,361,,31,,,
"Servicios sociales y de salud (061)",117,113,,4,,,
"Otras activ. serv.comun.soc y personales (062)",128,34,15,69,3,7,
"Hogares privados con servicio doméstico (063)",198,,,,,,198
"Actividad economica no especificada (065)",174,32,19,71,3,49,
,,,,,,,
"URBANA (066)",9468,1781,3477,3179,186,691,154
"Agric., ganadería, caza y silvicultura (067)",3365,23,1564,1250,90,438,
"Pesca (068)",43,,21,10,,12,
"Explotación de minas y canteras (069)",1064,199,833,30,2,,
"Industrias manufactureras (070)",382,23,178,151,12,18,
"Suministro de electricidad, gas y agua (071)",30,7,21,2,,,
"Construcción (072)",596,36,428,120,6,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1268,134,48,923,35,128,
"Venta, mant.y rep. veh.autom.y motoc. (074)",109,16,36,48,8,1,
"Comercio al por mayor (075)",51,9,3,38,,1,
"Comercio al por menor (076)",1108,109,9,837,27,126,
"Hoteles y restaurantes (077)",422,102,48,222,23,27,
"Trans., almac. y comunicaciones (078)",449,100,121,213,4,11,
"Intermediación financiera (079)",14,14,,,,,
"Activid.inmobil., empres. y alquileres (080)",197,117,37,35,6,2,
"Admin.pub. y defensa; p. segur.soc.afil (081)",409,317,92,,,,
"Enseñanza (082)",481,441,1,38,1,,
"Servicios sociales y de salud (083)",167,156,2,9,,,
"Otras activ. serv.comun.soc y personales (084)",236,75,58,89,4,10,
"Hogares privados con servicio doméstico (085)",154,,,,,,154
"Actividad economica no especificada (087)",191,37,25,87,3,39,
"Hombres (088)",6202,964,2821,1980,127,298,12
"Agric., ganadería, caza y silvicultura (089)",2361,20,1045,1001,75,220,
"Pesca (090)",42,,20,10,,12,
"Explotación de minas y canteras (091)",1036,178,827,29,2,,
"Industrias manufactureras (092)",282,12,159,91,10,10,
"Suministro de electricidad, gas y agua (093)",30,7,21,2,,,
"Construcción (094)",581,35,414,120,6,6,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",523,65,48,372,18,20,
"Venta, mant.y rep. veh.autom.y motoc. (096)",105,14,36,47,7,1,
"Comercio al por mayor (097)",28,5,3,20,,,
"Comercio al por menor (098)",390,46,9,305,11,19,
"Hoteles y restaurantes (099)",114,27,24,45,6,12,
"Trans., almac. y comunicaciones (100)",389,72,109,199,4,5,
"Intermediación financiera (101)",8,8,,,,,
"Activid.inmobil., empres. y alquileres (102)",136,70,33,27,4,2,
"Admin.pub. y defensa; p. segur.soc.afil (103)",265,211,54,,,,
"Enseñanza (104)",162,150,1,10,1,,
"Servicios sociales y de salud (105)",68,59,2,7,,,
"Otras activ. serv.comun.soc y personales (106)",122,42,45,30,1,4,
"Hogares privados con servicio doméstico (107)",12,,,,,,12
"Actividad economica no especificada (109)",71,8,19,37,,7,
"Mujeres (110)",3266,817,656,1199,59,393,142
"Agric., ganadería, caza y silvicultura (111)",1004,3,519,249,15,218,
"Pesca (112)",1,,1,,,,
"Explotación de minas y canteras (113)",28,21,6,1,,,
"Industrias manufactureras (114)",100,11,19,60,2,8,
"Construcción (116)",15,1,14,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",745,69,,551,17,108,
"Venta, mant.y rep. veh.autom.y motoc. (118)",4,2,,1,1,,
"Comercio al por mayor (119)",23,4,,18,,1,
"Comercio al por menor (120)",718,63,,532,16,107,
"Hoteles y restaurantes (121)",308,75,24,177,17,15,
"Trans., almac. y comunicaciones (122)",60,28,12,14,,6,
