"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia ALTO AMAZONAS (000)",22878,13773,9105
"Casa independiente (001)",16414,13182,3232
"Departamento en edificio (002)",20,20,
"Vivienda en quinta (003)",339,339,
"Vivienda en casa de vecindad (004)",67,67,
"Choza o cabaña (005)",5868,,5868
"Vivienda improvisada (006)",133,133,
"Local no dest.para hab. humana (007)",30,25,5
"Otro tipo (008)",7,7,
