"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia YUNGAY",,,,,,
"Viviendas particulares (001)",12784,12573,184,25,2,
"Ocupantes presentes (002)",54181,52351,1512,290,28,
"Casa independiente",,,,,,
"Viviendas particulares (004)",12628,12422,180,24,2,
"Ocupantes presentes (005)",53577,51783,1484,282,28,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",9,8,1,,,
"Ocupantes presentes (008)",36,29,7,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",22,18,3,1,,
"Ocupantes presentes (011)",87,58,21,8,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",15,15,,,,
"Ocupantes presentes (014)",50,50,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",105,105,,,,
"Ocupantes presentes (017)",420,420,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",3,3,,,,
"Ocupantes presentes (020)",9,9,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",2,2,,,,
"Ocupantes presentes (023)",2,2,,,,
"Otro tipo",,,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",2972,2838,114,19,1,
"Ocupantes presentes (029)",12560,11397,922,223,18,
"Casa independiente",,,,,,
"Viviendas particulares (031)",2923,2794,110,18,1,
"Ocupantes presentes (032)",12378,11251,894,215,18,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",9,8,1,,,
"Ocupantes presentes (035)",36,29,7,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",22,18,3,1,,
"Ocupantes presentes (038)",87,58,21,8,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",15,15,,,,
"Ocupantes presentes (041)",50,50,,,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",3,3,,,,
"Ocupantes presentes (047)",9,9,,,,
"Local no dest.para hab. humana",,,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",9812,9735,70,6,1,
"Ocupantes presentes (056)",41621,40954,590,67,10,
"Casa independiente",,,,,,
"Viviendas particulares (058)",9705,9628,70,6,1,
"Ocupantes presentes (059)",41199,40532,590,67,10,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",105,105,,,,
"Ocupantes presentes (071)",420,420,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",2,2,,,,
"Ocupantes presentes (077)",2,2,,,,
"Otro tipo",,,,,,
