"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia NAZCA (000)",913,175,738
"Sin nivel (001)",25,4,21
"Educación inicial (002)",2,,2
"Primaria (003)",123,17,106
"Secundaria (004)",442,84,358
"Superior no univ. incompleta (005)",81,15,66
"Superior no univ. completa (006)",129,27,102
"Superior univ. incompleta (007)",30,8,22
"Superior univ. completa (008)",81,20,61
"Hombres (010)",584,95,489
"Sin nivel (011)",11,1,10
"Educación inicial (012)",1,,1
"Primaria (013)",94,11,83
"Secundaria (014)",305,49,256
"Superior no univ. incompleta (015)",44,9,35
"Superior no univ. completa (016)",65,11,54
"Superior univ. incompleta (017)",18,4,14
"Superior univ. completa (018)",46,10,36
"Mujeres (020)",329,80,249
"Sin nivel (021)",14,3,11
"Educación inicial (022)",1,,1
"Primaria (023)",29,6,23
"Secundaria (024)",137,35,102
"Superior no univ. incompleta (025)",37,6,31
"Superior no univ. completa (026)",64,16,48
"Superior univ. incompleta (027)",12,4,8
"Superior univ. completa (028)",35,10,25
,,,
"AREA URBANA (030)",791,155,636
"Sin nivel (031)",18,4,14
"Educación inicial (032)",2,,2
"Primaria (033)",92,15,77
"Secundaria (034)",381,70,311
"Superior no univ. incompleta (035)",75,15,60
"Superior no univ. completa (036)",115,24,91
"Superior univ. incompleta (037)",30,8,22
"Superior univ. completa (038)",78,19,59
"Hombres (040)",489,83,406
"Sin nivel (041)",5,1,4
"Educación inicial (042)",1,,1
"Primaria (043)",67,9,58
"Secundaria (044)",258,41,217
"Superior no univ. incompleta (045)",42,9,33
"Superior no univ. completa (046)",55,10,45
"Superior univ. incompleta (047)",18,4,14
"Superior univ. completa (048)",43,9,34
"Mujeres (050)",302,72,230
"Sin nivel (051)",13,3,10
"Educación inicial (052)",1,,1
"Primaria (053)",25,6,19
"Secundaria (054)",123,29,94
"Superior no univ. incompleta (055)",33,6,27
"Superior no univ. completa (056)",60,14,46
"Superior univ. incompleta (057)",12,4,8
"Superior univ. completa (058)",35,10,25
,,,
"AREA RURAL (060)",122,20,102
"Sin nivel (061)",7,,7
"Primaria (063)",31,2,29
"Secundaria (064)",61,14,47
"Superior no univ. incompleta (065)",6,,6
"Superior no univ. completa (066)",14,3,11
"Superior univ. completa (068)",3,1,2
"Hombres (070)",95,12,83
"Sin nivel (071)",6,,6
"Primaria (073)",27,2,25
"Secundaria (074)",47,8,39
"Superior no univ. incompleta (075)",2,,2
"Superior no univ. completa (076)",10,1,9
"Superior univ. completa (078)",3,1,2
"Mujeres (080)",27,8,19
"Sin nivel (081)",1,,1
"Primaria (083)",4,,4
"Secundaria (084)",14,6,8
"Superior no univ. incompleta (085)",4,,4
"Superior no univ. completa (086)",4,2,2
