"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CANCHIS (000)",53,51,2
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",26,26,
"Hospital, clinica (004)",6,5,1
"Cárcel, centro de readaptación social (005)",1,1,
"Aldea infantil, orfelinato, etc (007)",2,2,
"Otro (008)",15,14,1
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",3,3,
