"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANCAVELICA (000)",45014,35605,2597,2015,4797
"Sin nivel (001)",6482,6352,74,13,43
"Educación inicial (002)",40,38,1,,1
"Primaria (003)",15571,14620,411,182,358
"Secundaria (004)",13119,10972,701,489,957
"Superior no univ. incompleta (005)",1095,668,95,87,245
"Superior no univ. completa (006)",3507,1225,586,489,1207
"Superior univ. incompleta (007)",988,567,95,79,247
"Superior univ. completa (008)",4212,1163,634,676,1739
"De 06 a 14 años (010)",834,793,39,2,
"Sin nivel (011)",22,22,,,
"Educación inicial (012)",7,6,1,,
"Primaria (013)",596,567,28,1,
"Secundaria (014)",209,198,10,1,
"De 15 a 29 años (020)",14965,12193,893,607,1272
"Sin nivel (021)",363,359,1,2,1
"Educación inicial (022)",13,13,,,
"Primaria (023)",4246,4056,99,33,58
"Secundaria (024)",7306,6350,384,242,330
"Superior no univ. incompleta (025)",506,348,47,32,79
"Superior no univ. completa (026)",902,399,131,105,267
"Superior univ. incompleta (027)",506,318,52,42,94
"Superior univ. completa (028)",1123,350,179,151,443
"De 30 a 44 años (030)",15366,10932,1159,990,2285
"Sin nivel (031)",1353,1325,18,1,9
"Educación inicial (032)",20,19,,,1
"Primaria (033)",5352,4981,152,87,132
"Secundaria (034)",3674,2943,204,167,360
"Superior no univ. incompleta (035)",398,233,36,37,92
"Superior no univ. completa (036)",1987,648,373,275,691
"Superior univ. incompleta (037)",336,181,33,29,93
"Superior univ. completa (038)",2246,602,343,394,907
"De 45 a 64 años (040)",10762,8692,476,400,1194
"Sin nivel (041)",2983,2905,42,9,27
"Primaria (043)",4278,3948,123,54,153
"Secundaria (044)",1767,1338,100,76,253
"Superior no univ. incompleta (045)",184,82,11,17,74
"Superior no univ. completa (046)",595,161,82,107,245
"Superior univ. incompleta (047)",143,66,10,8,59
"Superior univ. completa (048)",812,192,108,129,383
"De 65 y más años (050)",3087,2995,30,16,46
"Sin nivel (051)",1761,1741,13,1,6
"Primaria (053)",1099,1068,9,7,15
"Secundaria (054)",163,143,3,3,14
"Superior no univ. incompleta (055)",7,5,1,1,
"Superior no univ. completa (056)",23,17,,2,4
"Superior univ. incompleta (057)",3,2,,,1
