"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia HUANCAVELICA (000)",44435,105,4495,1308,1395,3167,14817,2795,1804,13552,243,754
"Agric., ganadería, caza y silvicultura (001)",24076,,13,15,3,,14804,2,,9239,,
"Pesca (002)",18,,1,,1,,13,,,3,,
"Explotación de minas y canteras (003)",938,,54,34,16,,,562,29,243,,
"Industrias manufactureras (004)",2097,1,6,31,11,4,,1941,75,28,,
"Suministro de electricidad, gas y agua (005)",64,1,11,12,12,,,9,4,15,,
"Construcción (006)",1679,2,53,58,16,,,60,831,659,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3831,,35,71,8,2442,,192,14,1069,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",205,,2,5,1,44,,134,11,8,,
"Comercio al por mayor (009)",136,,4,12,,113,,,1,6,,
"Comercio al por menor (010)",3490,,29,54,7,2285,,58,2,1055,,
"Hoteles y restaurantes (011)",989,1,5,29,20,486,,,,448,,
"Trans., almac. y comunicaciones (012)",1176,1,14,40,38,2,,6,729,346,,
"Intermediación financiera (013)",77,,27,8,38,,,,,4,,
"Activid.inmobil., empres. y alquileres (014)",811,1,245,208,165,127,,3,13,49,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",2205,67,294,249,744,28,,13,87,480,243,
"Enseñanza (016)",3577,27,3285,42,155,,,1,4,63,,
"Servicios sociales y de salud (017)",979,,366,339,89,33,,4,13,135,,
"Otras activ. serv.comun.soc y personales (018)",691,3,80,157,56,45,,2,5,343,,
"Hogares privados con servicio doméstico (019)",428,,,,,,,,,428,,
"Actividad economica no especificada (021)",799,1,6,15,23,,,,,,,754
"Hombres (022)",27284,89,2464,855,750,1284,12097,1557,1769,5734,221,464
"Agric., ganadería, caza y silvicultura (023)",15517,,10,10,3,,12087,2,,3405,,
"Pesca (024)",15,,1,,1,,10,,,3,,
"Explotación de minas y canteras (025)",923,,51,31,15,,,557,28,241,,
"Industrias manufactureras (026)",826,1,5,27,6,2,,716,54,15,,
"Suministro de electricidad, gas y agua (027)",59,1,10,12,8,,,9,4,15,,
"Construcción (028)",1612,2,49,53,12,,,60,821,615,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1621,,23,51,6,900,,191,13,437,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",183,,1,4,1,28,,133,10,6,,
"Comercio al por mayor (031)",79,,3,8,,62,,,1,5,,
"Comercio al por menor (032)",1359,,19,39,5,810,,58,2,426,,
"Hoteles y restaurantes (033)",369,1,2,14,12,204,,,,136,,
"Trans., almac. y comunicaciones (034)",1106,1,10,27,26,2,,6,727,307,,
"Intermediación financiera (035)",48,,17,4,23,,,,,4,,
"Activid.inmobil., empres. y alquileres (036)",615,1,189,174,76,123,,3,13,36,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",1563,58,215,169,420,26,,11,87,356,221,
"Enseñanza (038)",1859,20,1687,26,80,,,1,4,41,,
"Servicios sociales y de salud (039)",316,,128,122,29,6,,1,13,17,,
"Otras activ. serv.comun.soc y personales (040)",319,3,64,126,20,21,,,5,80,,
"Hogares privados con servicio doméstico (041)",26,,,,,,,,,26,,
"Actividad economica no especificada (043)",490,1,3,9,13,,,,,,,464
"Mujeres (044)",17151,16,2031,453,645,1883,2720,1238,35,7818,22,290
"Agric., ganadería, caza y silvicultura (045)",8559,,3,5,,,2717,,,5834,,
"Pesca (046)",3,,,,,,3,,,,,
"Explotación de minas y canteras (047)",15,,3,3,1,,,5,1,2,,
"Industrias manufactureras (048)",1271,,1,4,5,2,,1225,21,13,,
"Suministro de electricidad, gas y agua (049)",5,,1,,4,,,,,,,
"Construcción (050)",67,,4,5,4,,,,10,44,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",2210,,12,20,2,1542,,1,1,632,,
"Venta, mant.y rep. veh.autom.y motoc. (052)",22,,1,1,,16,,1,1,2,,
"Comercio al por mayor (053)",57,,1,4,,51,,,,1,,
"Comercio al por menor (054)",2131,,10,15,2,1475,,,,629,,
"Hoteles y restaurantes (055)",620,,3,15,8,282,,,,312,,
"Trans., almac. y comunicaciones (056)",70,,4,13,12,,,,2,39,,
"Intermediación financiera (057)",29,,10,4,15,,,,,,,
"Activid.inmobil., empres. y alquileres (058)",196,,56,34,89,4,,,,13,,
"Admin.pub. y defensa; p. segur.soc.afil (059)",642,9,79,80,324,2,,2,,124,22,
"Enseñanza (060)",1718,7,1598,16,75,,,,,22,,
"Servicios sociales y de salud (061)",663,,238,217,60,27,,3,,118,,
"Otras activ. serv.comun.soc y personales (062)",372,,16,31,36,24,,2,,263,,
"Hogares privados con servicio doméstico (063)",402,,,,,,,,,402,,
"Actividad economica no especificada (065)",309,,3,6,10,,,,,,,290
,,,,,,,,,,,,
"URBANA (066)",18330,83,4116,1182,1301,2743,1543,1413,1399,3907,240,403
"Agric., ganadería, caza y silvicultura (067)",2205,,11,13,2,,1536,1,,642,,
"Pesca (068)",11,,1,,1,,7,,,2,,
"Explotación de minas y canteras (069)",629,,49,27,15,,,365,24,149,,
"Industrias manufactureras (070)",938,,5,26,11,4,,802,65,25,,
"Suministro de electricidad, gas y agua (071)",52,1,11,12,10,,,4,3,11,,
"Construcción (072)",1191,2,48,54,14,,,50,620,403,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",3179,,35,70,8,2079,,163,13,811,,
"Venta, mant.y rep. veh.autom.y motoc. (074)",184,,2,5,1,40,,118,10,8,,
"Comercio al por mayor (075)",102,,4,12,,79,,,1,6,,
"Comercio al por menor (076)",2893,,29,53,7,1960,,45,2,797,,
"Hoteles y restaurantes (077)",880,1,5,29,20,443,,,,382,,
"Trans., almac. y comunicaciones (078)",931,1,14,39,32,1,,6,564,274,,
"Intermediación financiera (079)",76,,26,8,38,,,,,4,,
"Activid.inmobil., empres. y alquileres (080)",768,1,233,197,157,121,,2,13,44,,
"Admin.pub. y defensa; p. segur.soc.afil (081)",1983,48,292,243,686,26,,13,75,360,240,
"Enseñanza (082)",3236,25,2967,40,143,,,1,4,56,,
"Servicios sociales y de salud (083)",869,,336,292,87,27,,4,13,110,,
"Otras activ. serv.comun.soc y personales (084)",603,3,77,118,55,42,,2,5,301,,
"Hogares privados con servicio doméstico (085)",333,,,,,,,,,333,,
"Actividad economica no especificada (087)",446,1,6,14,22,,,,,,,403
"Hombres (088)",10967,69,2205,754,681,1051,1253,1170,1369,1946,219,250
"Agric., ganadería, caza y silvicultura (089)",1618,,8,9,2,,1247,1,,351,,
