"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PADRE ABAD (000)",13923,6140,7783
"Casa independiente (001)",10022,5490,4532
"Departamento en edificio (002)",82,82,
"Vivienda en quinta (003)",371,371,
"Vivienda en casa de vecindad (004)",96,96,
"Choza o cabaña (005)",3238,,3238
"Vivienda improvisada (006)",79,79,
"Local no dest.para hab. humana (007)",28,18,10
"Otro tipo (008)",7,4,3
