"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHINCHA (000)",1030,1028,2
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",120,120,
"Casa pensión (003)",41,41,
"Hospital, clinica (004)",171,171,
"Asilo (006)",36,36,
"Otro (008)",600,600,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",62,60,2
