"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PIURA (000)",4204,4097,107
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",776,774,2
"Casa pensión (003)",144,144,
"Hospital, clinica (004)",633,633,
"Cárcel, centro de readaptación social (005)",232,232,
"Asilo (006)",3,3,
"Aldea infantil, orfelinato, etc (007)",304,304,
"Otro (008)",1964,1863,101
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",148,144,4
