"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CARABAYA (000)",16746,115,5845,6620,1643,471,206,64,17,,1765
"Catolica (001)",13802,97,4764,5463,1380,389,176,54,14,,1465
"Cristiana / Evangelica (002)",1119,6,405,452,94,32,9,2,3,,116
"Otra (003)",1525,11,565,585,143,43,18,7,,,153
"Ninguna (004)",300,1,111,120,26,7,3,1,,,31
,,,,,,,,,,,
"URBANA (006)",7011,50,2382,2629,736,211,94,37,10,,862
"Catolica (007)",5941,43,1984,2249,625,172,81,34,9,,744
"Cristiana / Evangelica (008)",433,2,167,156,39,17,4,,1,,47
"Otra (009)",520,5,188,176,62,19,6,3,,,61
"Ninguna (010)",117,,43,48,10,3,3,,,,10
,,,,,,,,,,,
"RURAL (012)",9735,65,3463,3991,907,260,112,27,7,,903
"Catolica (013)",7861,54,2780,3214,755,217,95,20,5,,721
"Cristiana / Evangelica (014)",686,4,238,296,55,15,5,2,2,,69
"Otra (015)",1005,6,377,409,81,24,12,4,,,92
"Ninguna (016)",183,1,68,72,16,4,,1,,,21
